Date,HomeTeam,AwayTeam,FTHG,FTAG
2024-09-17,18.45  BSC Young Boys,Aston Villa FC,0,3
2024-09-17,Juventus FC,PSV,3,1
2024-09-17,21.00  Sporting Clube de Portugal,Lille OSC,2,0
2024-09-17,nchen,GNK Dinamo Zagreb,9,2
2024-09-17,Real Madrid CF,VfB Stuttgart,3,1
2024-09-17,AC Milan,Liverpool FC,1,3
2024-09-17,18.45  Bologna FC 1909,FK Shakhtar Donetsk,0,0
2024-09-17,AC Sparta Praha,FC Red Bull Salzburg,3,0
2024-09-17,21.00  Manchester City FC,FC Internazionale Milano,0,0
2024-09-17,Paris Saint-Germain FC,Girona FC,1,0
2024-09-17,Club Brugge KV,Borussia Dortmund,0,3
2024-09-17,18.45  Feyenoord Rotterdam,Bayer 04 Leverkusen,0,4
2024-09-17,FK Crvena Zvezda,Sport Lisboa e Benfica,1,2
2024-09-17,21.00  AS Monaco FC,FC Barcelona,2,1
2024-09-17,Stade Brestois 29,SK Sturm Graz,2,1
2024-09-17,Atalanta BC,Arsenal FC,0,0
2024-09-17,tico de Madrid,RB Leipzig,2,1
2024-09-17,18.45  VfB Stuttgart,AC Sparta Praha,1,1
2024-09-17,FC Red Bull Salzburg,Stade Brestois 29,0,4
2024-09-17,K Slovan Bratislava,Manchester City FC,0,4
2024-09-17,Borussia Dortmund,Celtic FC,7,1
2024-09-17,FC Barcelona,BSC Young Boys,5,0
2024-09-17,FC Internazionale Milano,FK Crvena Zvezda,4,0
2024-09-17,Bayer 04 Leverkusen,AC Milan,1,0
2024-09-17,Arsenal FC,Paris Saint-Germain FC,2,0
2024-09-17,PSV,Sporting Clube de Portugal,1,1
2024-09-17,18.45  Girona FC,Feyenoord Rotterdam,2,3
2024-09-17,FK Shakhtar Donetsk,Atalanta BC,0,3
2024-09-17,SK Sturm Graz,Club Brugge KV,0,1
2024-09-17,Liverpool FC,Bologna FC 1909,2,0
2024-09-17,RB Leipzig,Juventus FC,2,3
2024-09-17,GNK Dinamo Zagreb,AS Monaco FC,2,2
2024-09-17,Lille OSC,Real Madrid CF,1,0
2024-09-17,18.45  AS Monaco FC,FK Crvena Zvezda,5,1
2024-09-17,AC Milan,Club Brugge KV,3,1
2024-09-17,21.00  Aston Villa FC,Bologna FC 1909,2,0
2024-09-17,SK Sturm Graz,Sporting Clube de Portugal,0,2
2024-09-17,Paris Saint-Germain FC,PSV,1,1
2024-09-17,Real Madrid CF,Borussia Dortmund,5,2
2024-09-17,Arsenal FC,FK Shakhtar Donetsk,1,0
2024-09-17,Juventus FC,VfB Stuttgart,0,1
2024-09-17,18.45  Stade Brestois 29,Bayer 04 Leverkusen,1,1
2024-09-17,Atalanta BC,Celtic FC,0,0
2024-09-17,21.00  BSC Young Boys,FC Internazionale Milano,0,1
2024-09-17,Manchester City FC,AC Sparta Praha,5,0
2024-09-17,RB Leipzig,Liverpool FC,0,1
2024-09-17,tico de Madrid,Lille OSC,1,3
2024-09-17,Sport Lisboa e Benfica,Feyenoord Rotterdam,1,3
2024-09-17,FC Red Bull Salzburg,GNK Dinamo Zagreb,0,2
2024-09-17,K Slovan Bratislava,GNK Dinamo Zagreb,1,4
2024-09-17,PSV,Girona FC,4,0
2024-09-17,21.00  Sporting Clube de Portugal,Manchester City FC,4,1
2024-09-17,Bologna FC 1909,AS Monaco FC,0,1
2024-09-17,Borussia Dortmund,SK Sturm Graz,1,0
2024-09-17,Liverpool FC,Bayer 04 Leverkusen,4,0
2024-09-17,Real Madrid CF,AC Milan,1,3
2024-09-17,Celtic FC,RB Leipzig,3,1
2024-09-17,Lille OSC,Juventus FC,1,1
2024-09-17,18.45  Club Brugge KV,Aston Villa FC,1,0
2024-09-17,FK Shakhtar Donetsk,BSC Young Boys,2,1
2024-09-17,21.00  AC Sparta Praha,Stade Brestois 29,1,2
2024-09-17,VfB Stuttgart,Atalanta BC,0,2
2024-09-17,FC Internazionale Milano,Arsenal FC,1,0
2024-09-17,Feyenoord Rotterdam,FC Red Bull Salzburg,1,3
2024-09-17,FK Crvena Zvezda,FC Barcelona,2,5
2024-09-17,nchen,Sport Lisboa e Benfica,1,0
2024-09-17,K Slovan Bratislava,AC Milan,2,3
2024-09-17,21.00  Sporting Clube de Portugal,Arsenal FC,1,5
2024-09-17,BSC Young Boys,Atalanta BC,1,6
2024-09-17,nchen,Paris Saint-Germain FC,1,0
2024-09-17,FC Barcelona,Stade Brestois 29,3,0
2024-09-17,FC Internazionale Milano,RB Leipzig,1,0
2024-09-17,Manchester City FC,Feyenoord Rotterdam,3,3
2024-09-17,Bayer 04 Leverkusen,FC Red Bull Salzburg,5,0
2024-09-17,18.45  SK Sturm Graz,Girona FC,1,0
2024-09-17,FK Crvena Zvezda,VfB Stuttgart,5,1
2024-09-17,21.00  AS Monaco FC,Sport Lisboa e Benfica,2,3
2024-09-17,Aston Villa FC,Juventus FC,0,0
2024-09-17,Bologna FC 1909,Lille OSC,1,2
2024-09-17,Liverpool FC,Real Madrid CF,2,0
2024-09-17,Celtic FC,Club Brugge KV,1,1
2024-09-17,GNK Dinamo Zagreb,Borussia Dortmund,0,3
2024-09-17,PSV,FK Shakhtar Donetsk,3,2
2024-09-17,18.45  Girona FC,Liverpool FC,0,1
2024-09-17,GNK Dinamo Zagreb,Celtic FC,0,0
2024-09-17,21.00  Stade Brestois 29,PSV,1,0
2024-09-17,RB Leipzig,Aston Villa FC,2,3
2024-09-17,Atalanta BC,Real Madrid CF,2,3
2024-09-17,Bayer 04 Leverkusen,FC Internazionale Milano,1,0
2024-09-17,Club Brugge KV,Sporting Clube de Portugal,2,1
2024-09-17,FC Red Bull Salzburg,Paris Saint-Germain FC,0,3
2024-09-17,Lille OSC,SK Sturm Graz,3,2
2024-09-17,21.00  VfB Stuttgart,BSC Young Boys,5,1
2024-09-17,Borussia Dortmund,FC Barcelona,2,3
2024-09-17,AC Milan,FK Crvena Zvezda,2,1
2024-09-17,Sport Lisboa e Benfica,Bologna FC 1909,0,0
2024-09-17,Arsenal FC,AS Monaco FC,3,0
2024-09-17,Juventus FC,Manchester City FC,2,0
2024-09-17,Feyenoord Rotterdam,AC Sparta Praha,4,2
2025-01-21,18.45  AS Monaco FC,Aston Villa FC,1,0
2025-01-21,Atalanta BC,SK Sturm Graz,5,0
2025-01-21,21.00  Bologna FC 1909,Borussia Dortmund,2,1
2025-01-21,K Slovan Bratislava,VfB Stuttgart,1,3
2025-01-21,Liverpool FC,Lille OSC,2,1
2025-01-21,tico de Madrid,Bayer 04 Leverkusen,2,1
