ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
I2,,19:30,Cosenza,Cremonese,1,0,H,1,0,H,15,7,6,1,11,16,4,8,3,2,0,0,3.25,3.2,2.25,3.1,3.2,2.25,3.2,3.3,2.25,3.39,3.14,2.29,3.2,3.2,2.2,3.33,3.28,2.25,3.45,3.3,2.32,3.25,3.17,2.25,3.15,2.74,2.3,2.25,1.62,2.29,1.64,2.36,1.64,2.25,1.62,,,0.25,1.88,1.98,1.89,1.95,1.91,2.02,1.88,1.92,1.8,1.94,4.0,3.4,1.91,3.9,3.3,1.93,4.0,3.1,1.87,4.25,3.45,1.96,3.25,3.25,2.15,4.04,3.43,1.93,4.3,3.45,2.02,3.94,3.36,1.94,4.5,3.45,2.02,2.1,1.7,2.15,1.76,2.26,1.8,2.11,1.71,2.22,1.78,0.5,1.9,1.95,1.93,1.97,1.96,2.0,1.88,1.94,1.95,2.02,2024/25,,,,,,,,,,,,,
I2,,19:30,Cremonese,Carrarese,1,0,H,0,0,D,16,10,4,3,8,14,5,5,0,0,0,0,1.62,3.5,6.25,1.6,3.7,5.5,1.57,3.75,6.0,1.63,3.63,6.07,1.57,3.75,5.5,1.65,3.74,5.6,1.72,3.75,6.3,1.62,3.65,5.68,1.64,3.7,6.6,2.2,1.65,2.22,1.67,2.23,1.7,2.18,1.66,2.26,1.69,-0.75,1.8,2.05,1.83,2.05,1.87,2.11,1.81,2.02,1.82,2.06,1.62,3.6,5.75,1.65,3.8,5.0,1.57,3.5,5.0,1.69,3.73,5.69,1.57,3.75,5.5,1.66,3.53,5.75,1.72,3.8,5.75,1.66,3.65,5.29,1.71,3.9,5.9,2.03,1.83,2.04,1.85,2.06,1.89,1.97,1.81,2.08,1.88,-0.75,1.85,2.0,1.89,2.02,1.91,2.04,1.85,1.98,1.91,2.06,2024/25,,,,,,,,,,,,,
I2,,19:30,Cremonese,Palermo,0,1,A,0,0,D,18,5,4,3,14,21,8,5,0,0,0,0,1.8,3.7,4.2,1.82,3.6,4.1,1.75,3.5,4.4,1.85,3.6,4.57,2.1,3.4,3.2,1.85,3.72,4.14,1.86,3.72,4.57,1.82,3.59,4.18,1.87,3.75,4.7,1.95,1.9,1.94,1.94,1.98,1.97,1.88,1.9,1.99,1.99,-0.75,2.05,1.75,2.12,1.79,2.13,1.83,2.07,1.78,2.14,1.84,1.95,3.6,3.8,1.93,3.4,3.9,1.91,3.25,4.0,2.01,3.45,4.06,2.1,3.4,3.2,1.91,3.6,3.9,2.01,3.6,4.1,1.96,3.42,3.87,2.04,3.5,4.3,2.0,1.85,2.01,1.88,2.02,1.9,1.95,1.83,2.04,1.95,-0.5,1.98,1.88,2.02,1.89,2.02,1.93,1.95,1.87,2.04,1.94,2024/25,,,,,,,,,,,,,
I2,,19:30,Sassuolo,Cremonese,1,4,A,1,3,A,12,11,4,6,15,10,6,2,2,1,0,0,2.3,3.2,3.2,2.25,3.2,3.1,2.25,3.2,3.3,2.31,3.08,3.41,,,,2.31,3.18,3.31,2.33,3.25,3.47,2.28,3.13,3.26,1.76,1.84,2.56,2.05,1.75,2.13,1.75,2.2,1.78,2.08,1.72,1.06,1.08,-0.25,2.0,1.85,1.98,1.89,2.04,1.91,1.95,1.87,1.71,1.64,2.63,3.25,2.7,2.5,3.2,2.8,2.63,3.0,2.7,2.75,3.17,2.83,,,,2.63,3.26,2.7,2.75,3.26,2.83,2.62,3.15,2.73,2.84,3.25,2.88,2.0,1.85,2.02,1.87,2.06,1.87,1.96,1.81,2.08,1.91,0.0,1.93,1.93,1.93,1.98,1.96,1.98,1.91,1.93,1.97,2.02,2024/25,,,,,,,,,,,,,
I2,,14:00,Cremonese,Spezia,1,1,D,1,0,H,9,11,4,5,11,14,2,3,1,4,0,0,1.85,3.75,3.9,1.9,3.4,3.9,1.85,3.6,4.0,1.84,3.41,4.54,1.95,3.4,3.7,1.85,3.64,4.24,1.9,3.75,4.6,1.86,3.47,4.18,1.88,3.6,4.4,2.03,1.83,2.0,1.84,2.11,1.86,1.99,1.79,2.02,1.85,-0.5,1.88,1.98,1.86,2.0,1.9,2.02,1.85,1.96,1.88,2.01,2.05,3.4,3.5,2.05,3.3,3.5,2.0,3.2,3.75,2.09,3.38,3.86,1.95,3.4,3.7,2.07,3.43,3.53,2.16,3.5,3.89,2.05,3.35,3.61,2.12,3.45,4.0,2.0,1.85,2.06,1.84,2.06,1.9,2.0,1.79,2.06,1.91,-0.25,1.8,2.05,1.79,2.13,1.84,2.13,1.78,2.08,1.83,2.19,2024/25,,,,,,,,,,,,,
I2,,19:30,Catanzaro,Cremonese,1,2,A,1,1,D,8,18,3,3,22,15,4,6,2,4,0,0,2.75,3.25,2.55,2.7,3.3,2.5,2.75,3.2,2.55,2.87,3.25,2.65,3.1,3.3,2.2,2.83,3.22,2.56,2.9,3.3,2.65,2.78,3.22,2.54,2.92,3.4,2.66,1.98,1.88,2.0,1.88,2.0,1.95,1.93,1.85,2.02,1.95,0.0,2.03,1.83,2.03,1.88,2.08,1.88,2.03,1.83,2.06,1.88,2.7,3.2,2.63,2.7,3.3,2.5,2.75,3.1,2.55,2.8,3.28,2.7,3.1,3.3,2.2,2.71,3.22,2.64,2.9,3.35,2.7,2.72,3.22,2.59,2.86,3.3,2.8,1.9,1.95,1.95,1.93,2.02,1.97,1.9,1.87,2.0,1.99,0.0,1.95,1.9,1.99,1.92,2.08,1.95,1.98,1.88,2.02,1.97,2024/25,,,,,,,,,,,,,
I2,,19:30,Brescia,Cremonese,3,2,H,3,0,H,14,19,7,7,12,14,9,5,4,3,0,0,2.88,3.2,2.5,2.8,3.2,2.5,2.75,3.1,2.55,2.92,2.95,2.72,2.8,3.1,2.5,2.86,3.1,2.62,2.96,3.2,2.74,2.84,3.08,2.58,,,,2.1,1.7,2.18,1.7,2.2,1.74,2.12,1.69,,,0.0,2.03,1.83,2.0,1.85,2.09,1.85,2.02,1.82,,,3.25,3.0,2.4,3.2,3.0,2.35,3.1,2.88,2.3,3.29,3.12,2.45,2.9,3.1,2.45,3.37,3.0,2.34,3.37,3.12,2.47,3.22,3.0,2.38,3.4,3.2,2.5,2.15,1.67,2.22,1.71,2.31,1.72,2.19,1.66,2.24,1.76,0.25,1.78,2.1,1.84,2.08,1.84,2.14,1.8,2.03,1.88,2.11,2024/25,,,,,,,,,,,,,
I2,,14:00,Cremonese,Bari,1,1,D,0,1,A,19,14,6,4,16,18,2,4,3,3,0,0,1.9,3.5,4.0,1.9,3.5,3.9,1.85,3.4,4.2,1.92,3.43,4.18,1.85,3.5,3.9,1.92,3.5,4.07,1.95,3.51,4.2,1.91,3.45,3.99,1.86,3.0,3.55,2.05,1.8,2.01,1.83,2.08,1.84,1.99,1.79,1.87,1.81,-0.5,1.93,1.93,1.93,1.93,1.97,1.98,1.9,1.91,1.86,1.9,1.95,3.4,3.75,2.0,3.3,3.6,1.95,3.0,3.6,2.06,3.39,3.95,1.85,3.5,3.9,2.01,3.42,3.72,2.14,3.42,3.95,2.05,3.29,3.63,2.16,3.35,4.0,2.03,1.83,2.06,1.84,2.08,1.86,2.01,1.78,2.1,1.88,-0.5,2.0,1.85,2.06,1.85,2.14,1.87,2.04,1.78,2.16,1.84,2024/25,,,,,,,,,,,,,
I2,,14:00,Juve Stabia,Cremonese,1,2,A,1,1,D,15,16,4,6,14,17,6,2,0,3,0,0,3.1,3.25,2.3,3.2,3.25,2.2,3.3,3.2,2.25,3.39,3.06,2.34,3.2,3.2,2.2,3.29,3.25,2.28,3.4,3.25,2.34,3.23,3.13,2.27,3.25,3.2,2.32,2.1,1.7,2.16,1.71,2.21,1.74,2.12,1.69,2.18,1.73,0.25,1.88,1.98,1.87,1.98,1.92,2.0,1.87,1.94,,,3.2,3.1,2.3,3.1,3.1,2.3,3.1,2.88,2.25,3.36,3.16,2.37,3.2,3.2,2.2,3.24,3.14,2.33,3.45,3.16,2.5,3.21,3.06,2.34,3.45,3.2,2.48,2.05,1.75,2.12,1.72,2.25,1.81,2.09,1.71,2.18,1.81,0.25,1.83,2.03,1.89,2.01,1.89,2.08,1.84,2.0,1.89,2.11,2024/25,,,,,,,,,,,,,
I2,,14:00,Cremonese,Salernitana,2,1,H,2,0,H,9,6,3,3,11,15,0,3,4,2,0,0,1.85,3.5,4.2,1.85,3.5,4.0,1.85,3.5,4.0,1.87,3.62,4.35,1.8,3.7,3.9,1.87,3.72,4.07,1.91,3.72,4.4,1.86,3.55,4.09,1.88,3.6,4.3,1.9,1.95,1.89,1.98,1.94,1.98,1.85,1.92,1.91,1.96,-0.5,1.88,1.98,1.87,2.01,1.9,2.02,1.85,1.96,1.88,1.97,1.7,3.7,4.75,1.73,3.6,4.5,1.75,3.5,4.6,1.75,3.78,4.96,1.8,3.7,3.9,1.72,3.74,4.8,1.85,3.82,5.0,1.74,3.65,4.6,1.78,3.85,5.4,1.83,2.03,1.87,2.03,1.93,2.09,1.81,1.97,1.9,2.06,-0.75,1.93,1.93,1.98,1.93,2.15,1.96,1.95,1.88,1.99,1.99,2024/25,,,,,,,,,,,,,
