Date,HomeTeam,AwayTeam,FTHG,FTAG
2024-09-25,18.45  AZ Alkmaar,IF Elfsborg,3,2
2024-09-25,21.00  Manchester United,FC Twente,1,1
2024-09-25,PFC Ludogorets Razgrad,Slavia Praha,0,2
2024-09-25,Galatasaray,PAOK Saloniki,3,1
2024-09-25,Dinamo Kiev,Lazio Roma,0,3
2024-09-25,FC Midtjylland,1899 Hoffenheim,1,1
2024-09-25,RSC Anderlecht,Ferencvárosi TC,2,1
2024-09-25,OGC Nice,Real Sociedad,1,1
2024-09-25,18.45  Fenerbahçe,Union Saint-Gilloise,2,1
2024-09-25,Malmö FF,Rangers FC,0,2
2024-09-25,21.00  AS Roma,Athletic Club,1,1
2024-09-25,Eintracht Frankfurt,Viktoria Plzeň,3,3
2024-09-25,AFC Ajax,Beşiktaş,4,0
2024-09-25,Sporting Braga,Maccabi Tel Aviv,2,1
2024-09-25,Olympique Lyonnais,Olympiakos Piraeus,2,0
2024-09-25,FCSB,FK RFS,4,1
2024-09-25,21.35  Tottenham Hotspur,Qarabağ FK,3,0
2024-09-25,18.45  Slavia Praha,AFC Ajax,1,1
2024-09-25,Lazio Roma,OGC Nice,4,1
2024-09-25,Maccabi Tel Aviv,FC Midtjylland,0,2
2024-09-25,Ferencvárosi TC,Tottenham Hotspur,1,2
2024-09-25,Real Sociedad,RSC Anderlecht,1,2
2024-09-25,Olympiakos Piraeus,Sporting Braga,3,0
2024-09-25,Qarabağ FK,Malmö FF,1,2
2024-09-25,1899 Hoffenheim,Dinamo Kiev,2,0
2024-09-25,FK RFS,Galatasaray,2,2
2024-09-25,21.00  Rangers FC,Olympique Lyonnais,1,4
2024-09-25,FC Porto,Manchester United,3,3
2024-09-25,PAOK Saloniki,FCSB,0,1
2024-09-25,Viktoria Plzeň,PFC Ludogorets Razgrad,0,0
2024-09-25,Beşiktaş,Eintracht Frankfurt,1,3
2024-09-25,FC Twente,Fenerbahçe,1,1
2024-09-25,IF Elfsborg,AS Roma,1,0
2024-09-25,Athletic Club,AZ Alkmaar,2,0
2024-09-25,Galatasaray,IF Elfsborg,4,3
2024-09-25,18.45  AS Roma,Dinamo Kiev,1,0
2024-09-25,Eintracht Frankfurt,FK RFS,1,0
