ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
SP2,,18:30,Elche,Huesca,0,1,A,0,0,D,12,6,3,3,16,18,3,1,3,2,0,0,2.0,2.88,4.5,2.0,2.95,3.9,1.95,2.88,4.0,2.06,3.06,4.21,1.91,3.1,4.4,2.07,3.04,4.17,2.12,3.1,4.5,2.03,2.98,4.08,2.06,3.05,4.2,2.88,1.4,2.8,1.44,2.88,1.45,2.73,1.42,,,-0.5,2.05,1.8,2.07,1.81,2.12,1.85,2.02,1.78,,,2.1,2.88,4.2,2.05,2.87,3.8,1.91,2.75,4.2,2.07,2.98,4.6,1.91,3.1,4.4,2.06,2.9,4.37,2.16,3.05,4.6,2.05,2.93,4.17,2.16,3.05,4.7,2.88,1.4,2.9,1.44,2.91,1.45,2.77,1.42,3.0,1.49,-0.5,2.08,1.73,2.08,1.83,2.16,1.83,2.05,1.77,2.16,1.85,2024/25,,,,,,,,,,,,,
SP2,,18:00,Albacete,Elche,1,0,H,0,0,D,8,18,2,4,14,8,0,8,2,1,0,0,2.4,2.9,3.3,2.4,3.0,2.85,2.38,2.9,2.9,2.45,2.98,3.27,2.4,3.2,2.88,2.47,2.98,3.23,2.48,3.15,3.3,2.41,2.97,3.1,2.44,3.0,3.25,2.4,1.53,2.49,1.55,2.49,1.58,2.4,1.55,,,-0.25,2.05,1.8,2.07,1.8,2.17,1.83,2.05,1.78,,,2.2,3.2,3.4,2.1,3.2,3.3,2.05,3.1,3.4,2.21,3.28,3.61,2.4,3.2,2.88,2.21,3.22,3.4,2.25,3.29,3.85,2.14,3.22,3.45,2.26,3.4,3.75,2.05,1.75,2.09,1.8,2.16,1.83,2.02,1.77,2.16,1.84,-0.25,1.9,1.95,1.88,2.01,1.94,2.1,1.85,1.98,1.92,2.04,2024/25,,,,,,,,,,,,,
SP2,,20:30,Elche,Cordoba,3,1,H,1,0,H,18,5,5,2,4,23,5,4,0,2,0,0,2.1,3.1,3.75,2.1,3.1,3.4,2.05,3.0,3.5,2.14,3.2,3.69,,,,2.12,3.28,3.63,2.19,3.28,3.75,2.12,3.17,3.57,2.14,3.2,3.65,2.35,1.57,2.41,1.58,2.48,1.6,2.35,1.57,,,-0.25,1.83,2.03,1.83,2.03,1.85,2.07,1.81,2.01,,,1.95,3.2,4.2,1.95,3.1,3.8,1.91,2.9,3.9,2.01,3.21,4.44,1.95,3.25,3.9,1.93,3.22,4.37,2.07,3.25,4.44,1.98,3.14,4.05,2.08,3.3,4.5,2.35,1.57,2.46,1.6,2.46,1.62,2.32,1.58,2.5,1.66,-0.5,2.0,1.85,2.02,1.89,2.04,1.89,1.99,1.81,2.08,1.9,2024/25,,,,,,,,,,,,,
SP2,,17:30,Zaragoza,Elche,3,0,H,1,0,H,21,5,9,3,15,15,6,3,1,6,0,1,2.25,3.2,3.3,2.2,3.0,3.3,2.05,2.9,3.6,2.31,3.02,3.5,2.15,3.1,3.4,2.27,3.14,3.43,2.34,3.2,3.6,2.25,3.03,3.39,2.32,3.05,3.55,2.6,1.48,2.66,1.49,2.66,1.51,2.56,1.48,2.6,1.53,-0.25,1.98,1.88,1.95,1.89,2.0,1.93,1.92,1.88,1.88,1.82,2.2,3.2,3.4,2.15,2.9,3.4,2.2,2.88,3.3,2.29,3.07,3.7,2.15,3.1,3.4,2.16,3.21,3.53,2.3,3.21,3.7,2.23,3.03,3.49,2.28,3.15,3.9,2.5,1.5,2.68,1.51,2.68,1.52,2.57,1.49,2.72,1.57,-0.25,1.9,1.95,1.93,1.97,1.97,1.98,1.9,1.92,1.92,2.04,2024/25,,,,,,,,,,,,,
SP2,,20:00,Elche,Granada,2,2,D,1,0,H,13,10,3,3,22,13,3,6,1,4,0,0,2.3,3.25,3.1,2.2,3.2,3.0,2.2,3.1,3.0,2.28,3.23,3.27,2.05,3.4,3.4,2.3,3.32,3.17,2.33,3.32,3.32,2.26,3.22,3.14,2.36,3.2,3.25,2.15,1.67,2.16,1.7,2.2,1.73,2.12,1.69,2.2,1.71,-0.25,2.0,1.85,1.96,1.88,2.05,1.9,1.94,1.87,,,2.05,3.3,3.6,2.05,3.1,3.3,2.0,2.9,3.5,2.17,3.2,3.84,2.05,3.4,3.4,2.11,3.33,3.51,2.2,3.33,3.87,2.11,3.18,3.55,2.2,3.3,3.95,2.25,1.62,2.34,1.65,2.38,1.68,2.23,1.63,2.44,1.67,-0.25,1.8,2.05,1.85,2.07,1.9,2.09,1.82,2.01,1.88,2.11,2024/25,,,,,,,,,,,,,
SP2,,17:30,Elche,Mirandes,1,0,H,0,0,D,19,5,9,3,15,15,5,0,2,3,0,0,1.7,3.25,6.0,1.63,3.3,5.5,1.62,3.3,5.5,1.69,3.45,5.8,,,,1.72,3.48,5.5,1.77,3.57,6.0,1.68,3.38,5.56,1.68,3.45,6.0,2.5,1.5,2.6,1.51,2.63,1.52,2.5,1.5,2.6,1.52,-0.75,1.93,1.93,1.93,1.92,1.97,1.97,1.91,1.89,,,1.91,3.0,4.75,1.93,2.95,4.1,1.83,3.0,4.4,1.98,3.15,4.7,,,,1.93,3.03,4.79,2.07,3.15,4.79,1.95,3.05,4.4,2.0,3.25,5.0,2.7,1.44,2.79,1.48,2.79,1.51,2.66,1.46,2.92,1.51,-0.5,1.95,1.9,1.99,1.92,1.99,1.94,1.94,1.87,2.0,1.98,2024/25,,,,,,,,,,,,,
SP2,,20:00,Malaga,Elche,0,3,A,0,1,A,5,14,0,8,19,21,4,5,5,4,0,0,2.5,3.0,3.0,2.5,3.0,2.7,2.4,2.9,2.9,2.59,2.99,3.04,,,,2.54,3.14,2.94,2.61,3.14,3.1,2.52,2.99,2.96,2.64,3.0,3.15,2.4,1.53,2.51,1.55,2.56,1.58,2.43,1.54,2.56,1.51,0.0,1.78,2.1,1.79,2.11,1.81,2.14,1.78,2.08,1.81,2.15,2.63,2.7,3.2,2.6,2.6,3.0,2.55,2.55,3.1,2.8,2.66,3.33,,,,2.64,2.71,3.22,2.8,2.74,3.37,2.67,2.63,3.2,2.82,2.8,3.4,3.4,1.33,3.35,1.35,3.4,1.36,3.14,1.34,3.45,1.39,0.0,1.78,2.1,1.79,2.14,1.81,2.16,1.78,2.1,1.81,2.2,2024/25,,,,,,,,,,,,,
SP2,,13:00,Ferrol,Elche,1,0,H,1,0,H,7,10,1,4,24,11,5,5,4,4,0,0,3.3,2.9,2.4,3.1,2.9,2.3,3.0,2.8,2.3,3.47,2.92,2.44,,,,3.36,2.93,2.42,3.47,3.0,2.45,3.27,2.91,2.39,3.6,2.94,2.44,2.6,1.48,2.72,1.48,2.72,1.5,2.58,1.47,2.72,1.49,0.25,1.83,2.03,1.84,2.06,1.87,2.08,1.81,2.0,1.86,2.03,3.25,2.88,2.45,3.0,2.8,2.4,3.2,2.7,2.38,3.4,2.86,2.57,,,,3.27,2.89,2.46,3.4,2.91,2.61,3.21,2.84,2.47,3.5,2.96,2.58,2.88,1.4,2.92,1.44,2.92,1.46,2.75,1.43,3.0,1.48,0.25,1.75,2.13,1.79,2.15,1.81,2.19,1.76,2.08,1.85,2.15,2024/25,,,,,,,,,,,,,
SP2,,20:00,Elche,La Coruna,0,0,D,0,0,D,13,10,1,5,12,21,4,3,2,2,0,0,2.6,2.8,3.0,2.35,3.1,2.87,2.38,2.88,2.9,2.34,2.95,2.98,2.2,3.25,3.1,2.4,3.25,3.06,2.6,3.25,3.18,2.42,3.03,3.01,2.58,3.1,3.15,2.2,1.65,2.15,1.6,2.29,1.72,2.19,1.64,2.2,1.7,-0.25,2.15,1.68,2.0,1.71,2.25,1.79,2.08,1.73,1.99,1.72,1.85,3.1,4.75,1.88,3.1,4.1,1.8,3.2,4.33,1.95,3.32,4.51,2.2,3.25,3.1,1.88,3.14,4.82,1.97,3.35,4.82,1.89,3.2,4.39,1.96,3.45,4.9,2.2,1.65,2.25,1.7,2.31,1.71,2.19,1.65,2.3,1.76,-0.5,1.93,1.93,1.96,1.94,1.96,2.0,1.9,1.91,1.96,2.03,2024/25,,,,,,,,,,,,,
SP2,,17:30,Elche,Sp Gijon,2,1,H,0,0,D,12,9,4,2,12,28,4,4,0,7,0,0,1.95,3.2,4.1,2.0,3.1,3.5,1.95,3.0,3.75,2.05,3.22,3.97,,,,2.04,3.32,3.84,2.11,3.32,4.1,2.02,3.18,3.79,2.02,3.2,4.0,2.3,1.6,2.38,1.6,2.45,1.61,2.33,1.58,2.28,1.59,-0.5,2.03,1.83,2.06,1.81,2.11,1.88,2.01,1.8,,,2.15,3.2,3.5,2.05,3.0,3.5,2.1,2.88,3.4,2.22,3.17,3.74,,,,2.16,3.22,3.52,2.25,3.22,3.8,2.15,3.11,3.55,2.32,3.15,3.85,2.3,1.57,2.38,1.63,2.41,1.63,2.3,1.59,2.48,1.67,-0.25,1.82,1.92,1.89,2.02,1.94,2.05,1.84,1.97,1.96,2.03,2024/25,,,,,,,,,,,,,
