ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
D2,,19:30,FC Koln,Hamburg,1,2,A,0,2,A,26,9,4,6,18,7,6,3,2,2,0,0,2.45,3.4,2.8,2.35,3.6,2.8,2.3,3.5,2.75,2.41,3.73,2.86,2.3,3.6,2.7,2.36,3.64,2.83,2.45,3.8,2.9,2.36,3.62,2.8,2.44,3.8,2.98,1.57,2.35,1.61,2.42,1.61,2.47,1.57,2.37,1.63,2.52,-0.25,2.08,1.73,2.11,1.82,2.13,1.82,2.04,1.79,2.12,1.87,2.0,3.6,3.5,2.05,3.7,3.3,2.05,3.7,3.1,2.1,3.76,3.43,2.0,3.7,3.25,2.06,3.68,3.6,2.15,3.88,3.6,2.05,3.74,3.34,2.14,3.9,3.55,1.53,2.4,1.57,2.51,1.57,2.58,1.54,2.44,1.62,2.58,-0.25,1.75,2.05,1.84,2.08,1.95,2.18,1.8,2.04,1.87,2.13,2024/25,,,,,,,,,,,,,
D2,,12:00,Elversberg,FC Koln,2,2,D,0,1,A,10,23,3,9,13,13,4,13,3,2,0,0,3.4,3.6,2.05,3.25,3.7,2.1,3.4,3.7,1.95,3.42,3.88,2.04,3.25,3.7,2.0,3.39,3.76,2.04,3.42,3.93,2.1,3.31,3.76,2.04,3.6,3.95,2.1,1.65,2.2,1.67,2.28,1.67,2.32,1.64,2.23,1.68,2.4,0.5,1.83,2.03,1.85,2.05,1.88,2.08,1.81,2.02,1.89,2.1,4.0,3.9,1.83,3.75,4.0,1.85,3.9,3.8,1.8,3.94,4.11,1.85,3.6,3.9,1.83,4.21,3.96,1.83,4.21,4.11,1.87,3.84,3.99,1.83,4.2,4.2,1.9,1.48,2.6,1.52,2.64,1.52,2.75,1.48,2.58,1.54,2.82,0.5,2.03,1.83,2.05,1.87,2.05,1.88,1.99,1.83,2.1,1.9,2024/25,,,,,,,,,,,,,
D2,,19:30,FC Koln,Braunschweig,5,0,H,2,0,H,22,6,13,3,14,7,8,2,2,1,0,0,1.48,4.5,6.0,1.49,4.75,5.75,1.44,4.75,6.0,1.45,4.84,6.13,1.44,4.6,5.8,1.47,4.85,6.05,1.5,5.0,6.3,1.47,4.75,5.92,1.52,5.0,6.6,1.48,2.6,1.49,2.66,1.51,2.66,1.47,2.59,1.52,2.72,-1.25,2.03,1.83,2.0,1.87,2.11,1.87,1.99,1.84,2.01,1.84,1.42,4.75,6.25,1.43,5.0,6.5,1.36,4.6,6.0,1.44,5.2,6.54,1.4,4.8,6.5,1.46,4.85,6.16,1.48,5.2,6.9,1.43,4.97,6.24,1.48,5.3,7.0,1.4,2.88,1.42,3.0,1.45,3.0,1.41,2.87,1.46,3.1,-1.25,1.88,1.98,1.93,1.98,1.93,2.05,1.89,1.93,1.96,2.01,2024/25,,,,,,,,,,,,,
D2,,12:30,Schalke 04,FC Koln,1,3,A,0,2,A,15,11,7,6,6,17,6,3,2,4,0,0,3.2,3.5,2.15,3.0,3.75,2.15,3.0,3.8,2.1,3.13,3.7,2.17,2.9,3.8,2.1,3.05,3.9,2.14,3.2,3.9,2.21,3.05,3.73,2.16,3.3,3.7,2.24,1.5,2.5,1.5,2.6,1.54,2.6,1.48,2.52,1.31,2.74,0.25,1.95,1.9,1.95,1.9,1.99,1.94,1.93,1.87,2.02,1.92,3.3,3.6,2.05,3.0,3.75,2.15,3.1,3.5,2.0,3.3,3.78,2.14,3.0,3.9,2.05,3.28,3.63,2.12,3.3,4.0,2.2,3.15,3.74,2.11,3.35,3.95,2.2,1.48,2.6,1.49,2.74,1.5,2.85,1.47,2.64,1.53,2.88,0.25,2.03,1.83,2.03,1.88,2.04,1.91,1.99,1.83,2.06,1.92,2024/25,,,,,,,,,,,,,
D2,,19:30,FC Koln,Magdeburg,1,2,A,0,0,D,33,11,13,4,13,10,10,2,4,3,0,0,1.5,5.0,5.25,1.49,4.8,5.75,1.47,4.6,5.5,1.49,4.74,5.72,1.44,4.75,5.8,1.5,4.75,5.75,1.51,5.0,6.0,1.48,4.77,5.66,1.5,5.4,6.6,1.44,2.7,1.44,2.8,1.46,2.81,1.43,2.73,1.46,2.92,-1.25,2.05,1.8,2.05,1.82,2.07,1.85,2.02,1.8,2.06,1.86,1.42,5.25,5.75,1.42,5.0,6.5,1.4,4.75,6.5,1.43,5.24,6.72,1.36,5.0,6.5,1.44,5.33,5.84,1.47,5.33,6.9,1.42,5.06,6.33,1.47,5.3,7.2,1.4,2.88,1.4,3.1,1.46,3.14,1.39,2.92,1.43,3.25,-1.25,1.85,2.0,1.88,2.03,1.93,2.05,1.87,1.96,1.92,2.07,2024/25,,,,,,,,,,,,,
D2,,12:00,Fortuna Dusseldorf,FC Koln,2,2,D,1,1,D,9,24,5,13,9,11,4,8,2,2,0,0,3.0,3.6,2.2,3.1,3.6,2.2,2.88,3.6,2.25,3.04,3.66,2.3,3.0,3.7,2.1,2.96,3.74,2.24,3.15,3.74,2.31,2.99,3.62,2.23,3.0,3.8,2.34,1.62,2.25,1.65,2.32,1.66,2.38,1.61,2.29,1.65,2.36,0.25,1.88,1.98,1.88,2.01,1.94,2.02,1.88,1.92,1.9,2.03,3.1,3.7,2.15,3.0,3.7,2.15,3.0,3.5,2.15,3.2,3.71,2.21,3.0,3.6,2.15,3.12,3.72,2.16,3.22,3.75,2.42,3.01,3.64,2.22,3.25,3.8,2.3,1.53,2.4,1.61,2.51,1.61,2.52,1.56,2.38,1.62,2.56,0.25,1.95,1.9,1.96,1.93,2.0,2.07,1.89,1.93,1.99,1.99,2024/25,,,,,,,,,,,,,
D2,,12:30,FC Koln,Karlsruhe,4,4,D,4,2,H,16,19,5,7,8,9,3,8,0,3,0,0,1.57,4.2,5.25,1.63,4.33,4.75,1.53,4.6,5.0,1.57,4.52,5.15,1.55,4.5,4.75,1.59,4.65,4.8,1.63,4.65,5.25,1.58,4.47,4.88,1.6,5.0,5.3,1.4,2.88,1.4,3.0,1.4,3.05,1.38,2.93,1.41,3.2,-1.0,1.9,1.95,1.91,1.94,2.02,1.98,1.92,1.9,1.92,1.98,1.48,4.5,5.75,1.5,4.75,5.5,1.44,4.75,6.0,1.51,4.9,6.0,1.44,4.8,5.5,1.52,4.58,5.66,1.52,5.0,6.25,1.49,4.77,5.76,1.51,5.1,6.6,1.33,3.4,1.35,3.37,1.35,3.45,1.32,3.29,1.37,3.65,-1.25,1.98,1.88,2.0,1.9,2.02,1.92,1.96,1.86,2.02,1.94,2024/25,,,,,,,,,,,,,
D2,,12:00,FC Koln,Ulm,2,0,H,1,0,H,21,3,4,0,15,7,7,4,4,1,0,1,1.27,6.0,9.0,1.3,5.75,9.5,1.25,5.5,10.0,1.26,6.24,10.66,1.25,5.8,9.5,1.28,5.95,9.7,1.3,6.4,11.0,1.27,5.95,9.88,1.29,6.6,11.5,1.44,2.7,1.46,2.78,1.47,2.85,1.44,2.68,1.5,2.9,-1.75,1.98,1.88,1.98,1.88,2.05,1.91,1.96,1.85,2.0,1.9,1.27,6.0,9.0,1.32,6.0,8.0,1.25,5.5,9.0,1.31,5.79,9.35,1.29,5.5,8.5,1.29,6.07,9.11,1.33,6.2,10.0,1.29,5.82,8.95,1.34,6.2,10.5,1.4,2.88,1.4,3.11,1.44,3.12,1.39,2.91,1.45,3.15,-1.5,1.75,2.05,1.87,2.03,1.89,2.1,1.81,2.03,1.91,2.06,2024/25,,,,,,,,,,,,,
D2,,17:30,Darmstadt,FC Koln,5,1,H,2,1,H,11,15,6,6,11,10,3,6,2,3,0,0,4.0,3.9,1.8,3.9,4.1,1.78,3.9,4.0,1.75,4.0,4.27,1.82,3.8,4.2,1.73,3.95,4.15,1.8,4.07,4.3,1.86,3.93,4.13,1.79,4.2,4.3,1.86,1.48,2.6,1.5,2.7,1.5,2.75,1.47,2.61,1.53,2.8,0.5,2.03,1.78,2.09,1.81,2.09,1.85,2.05,1.79,2.12,1.86,3.6,3.8,1.9,3.5,3.9,1.93,3.6,3.9,1.85,3.64,4.0,1.96,3.4,4.0,1.85,3.78,3.85,1.89,3.83,4.1,1.98,3.6,3.95,1.91,3.85,4.2,1.98,1.48,2.6,1.5,2.69,1.5,2.75,1.47,2.62,1.52,2.86,0.5,1.9,1.95,1.93,1.96,1.98,1.99,1.91,1.91,2.01,1.98,2024/25,,,,,,,,,,,,,
D2,,17:30,FC Koln,Paderborn,1,2,A,0,0,D,12,9,3,4,6,11,6,3,1,4,0,0,1.65,4.1,4.5,1.68,4.2,4.5,1.62,4.2,4.6,1.68,4.23,4.87,1.67,4.2,4.2,1.76,4.15,4.14,1.76,4.35,4.88,1.67,4.17,4.54,1.71,4.4,5.0,1.44,2.7,1.42,3.0,1.44,3.01,1.39,2.87,1.45,3.15,-0.75,1.78,2.03,1.85,2.05,1.9,2.11,1.83,1.99,1.86,2.09,1.48,4.5,5.75,1.57,4.5,5.0,1.53,4.4,5.0,1.51,4.69,6.27,1.5,4.6,5.0,1.55,4.39,5.51,1.58,4.84,6.27,1.54,4.47,5.41,1.58,4.9,5.9,1.36,3.1,1.39,3.13,1.4,3.21,1.37,3.03,1.44,3.25,-1.0,1.73,2.08,1.78,2.14,1.9,2.14,1.84,1.99,1.91,2.05,2024/25,,,,,,,,,,,,,
