ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
F2,,19:45,Martigues,Lorient,0,1,A,0,0,D,3,18,1,7,8,13,1,11,0,0,0,0,3.6,3.3,1.95,3.9,3.3,1.93,3.8,3.3,1.95,4.06,3.38,1.94,3.7,3.4,1.95,3.87,3.5,1.97,4.2,3.5,2.02,3.82,3.35,1.95,2.22,2.8,1.55,2.15,1.67,2.07,1.76,2.15,1.78,2.07,1.71,1.01,1.06,0.5,1.83,2.03,1.88,1.95,1.88,2.03,1.83,1.96,,,4.5,3.5,1.7,4.75,3.5,1.73,4.5,3.4,1.8,5.1,3.63,1.75,4.33,3.6,1.75,4.76,3.7,1.8,5.1,3.7,1.85,4.66,3.52,1.76,5.3,3.8,1.81,2.1,1.7,2.12,1.76,2.32,1.77,2.09,1.72,2.24,1.79,0.75,1.88,1.98,1.89,2.0,1.92,2.02,1.85,1.98,1.92,2.07,2024/25,,,,,,,,,,,,,
F2,,13:30,Lorient,Grenoble,2,0,H,0,0,D,12,13,5,3,12,10,9,7,1,2,0,0,1.62,3.5,5.25,1.68,3.75,4.8,1.67,3.7,5.0,1.68,3.75,5.3,1.65,3.8,4.75,1.69,3.94,4.9,1.72,3.94,5.4,1.67,3.72,4.96,1.71,3.85,5.3,1.95,1.9,1.9,1.95,1.97,1.95,1.89,1.89,1.94,1.95,-0.75,1.88,1.98,1.9,1.97,1.95,2.02,1.87,1.94,1.91,2.0,1.42,4.2,6.5,1.46,4.5,6.25,1.44,4.5,6.5,1.47,4.74,6.56,1.44,4.5,6.0,1.5,4.44,6.88,1.7,4.74,7.0,1.49,4.34,6.15,1.49,4.9,7.2,1.57,2.35,1.61,2.39,1.83,2.39,1.64,2.21,1.68,2.42,-1.0,1.7,2.1,1.75,2.17,2.25,2.23,1.86,2.0,1.79,2.25,2024/25,,,,,,,,,,,,,
F2,,13:30,Amiens,Lorient,1,0,H,1,0,H,14,19,7,9,10,13,9,12,0,0,0,0,3.7,3.2,1.95,3.8,3.25,1.98,4.0,3.25,1.95,4.03,3.32,2.01,3.75,3.4,1.91,3.89,3.42,1.99,4.1,3.42,2.04,3.84,3.29,1.98,4.0,3.3,2.02,2.15,1.67,2.24,1.68,2.25,1.7,2.17,1.66,2.24,1.67,0.5,1.85,2.0,1.85,2.02,1.9,2.04,1.83,1.97,1.86,2.02,4.33,3.5,1.73,4.6,3.6,1.72,4.75,3.6,1.7,4.84,3.67,1.78,4.33,3.6,1.75,4.58,3.7,1.83,5.0,3.75,1.83,4.51,3.58,1.76,5.2,3.75,1.83,1.95,1.9,1.96,1.9,2.06,1.9,1.92,1.85,2.02,1.93,0.75,1.83,2.03,1.87,2.02,1.93,2.05,1.83,1.99,1.94,2.05,2024/25,,,,,,,,,,,,,
F2,,19:00,Lorient,Red Star,2,1,H,1,0,H,14,5,7,3,10,12,13,3,2,1,0,1,1.62,3.8,4.75,1.66,4.1,4.4,1.62,4.1,4.6,1.66,4.41,4.61,1.62,4.2,4.5,1.67,4.25,4.62,1.7,4.42,4.75,1.65,4.18,4.51,1.7,4.4,4.9,1.57,2.35,1.56,2.5,1.59,2.5,1.56,2.36,1.64,2.5,-0.75,1.83,2.03,1.83,2.04,1.87,2.09,1.81,1.98,1.86,2.08,1.6,3.75,5.25,1.63,4.0,4.75,1.62,4.0,5.0,1.66,4.15,4.91,1.62,4.0,4.75,1.73,3.88,4.98,1.73,4.4,5.25,1.64,4.01,4.74,1.69,4.3,5.5,1.7,2.1,1.72,2.17,1.89,2.25,1.69,2.13,1.79,2.26,-0.75,1.8,2.05,1.85,2.03,1.86,2.09,1.82,2.0,1.87,2.11,2024/25,,,,,,,,,,,,,
F2,,13:30,Metz,Lorient,1,1,D,1,0,H,7,16,1,5,12,13,1,10,2,2,0,0,2.45,3.25,2.63,2.5,3.3,2.7,2.55,3.3,2.7,2.57,3.26,2.79,2.45,3.4,2.62,2.53,3.42,2.72,2.58,3.42,2.88,2.51,3.28,2.71,2.58,3.45,2.86,1.98,1.88,1.93,1.91,2.04,1.93,1.94,1.84,1.92,1.91,0.0,1.85,2.0,1.85,2.01,1.89,2.04,1.84,2.0,1.85,2.05,2.45,3.25,2.63,2.5,3.25,2.7,2.55,3.1,2.8,2.66,3.19,2.86,2.45,3.4,2.62,2.51,3.49,2.85,2.66,3.49,2.88,2.53,3.23,2.76,2.68,3.3,2.96,2.05,1.8,2.06,1.82,2.12,1.87,1.98,1.81,2.1,1.88,0.0,1.85,2.0,1.88,2.02,1.89,2.06,1.84,2.02,1.89,2.07,2024/25,,,,,,,,,,,,,
F2,,19:30,Pau FC,Lorient,1,0,H,1,0,H,19,6,7,2,19,11,7,1,1,1,0,1,3.6,3.7,1.95,3.5,3.5,1.98,3.5,3.6,1.95,3.49,3.79,2.04,3.4,3.7,1.95,3.54,3.74,1.99,3.9,3.8,2.04,3.48,3.63,1.98,3.75,3.85,2.04,1.67,2.15,1.73,2.17,1.74,2.23,1.68,2.14,1.75,2.3,0.5,1.85,2.0,1.85,2.05,1.91,2.05,1.84,1.96,1.92,2.04,3.4,3.7,1.95,3.3,3.6,2.0,3.4,3.7,1.95,3.45,3.89,2.03,3.4,3.7,1.95,3.66,3.85,1.99,3.66,4.0,2.04,3.39,3.74,1.98,3.65,3.95,2.06,1.62,2.25,1.65,2.31,1.69,2.38,1.62,2.26,1.69,2.44,0.5,1.85,2.0,1.85,2.04,1.92,2.04,1.83,1.97,1.9,2.06,2024/25,,,,,,,,,,,,,
F2,,19:00,Lorient,Ajaccio,3,0,H,0,0,D,27,7,10,3,22,18,8,3,2,2,0,1,1.48,4.1,5.5,1.5,4.0,6.5,1.47,4.0,6.5,1.53,4.19,6.6,1.5,4.0,6.5,1.54,4.05,6.45,1.54,4.2,6.8,1.5,4.03,6.39,1.55,4.3,7.4,2.05,1.75,2.1,1.78,2.14,1.83,2.05,1.74,2.14,1.84,-1.0,1.82,1.92,1.93,1.95,1.97,2.03,1.88,1.92,1.95,2.01,1.45,4.2,5.75,1.49,4.1,6.25,1.4,4.0,6.5,1.49,4.31,7.08,1.44,4.0,7.5,1.54,4.46,6.11,1.54,4.46,7.5,1.47,4.18,6.6,1.51,4.5,8.0,2.05,1.75,2.06,1.81,2.21,1.88,2.03,1.76,2.1,1.86,-1.0,1.83,2.03,1.85,2.05,1.92,2.05,1.84,1.98,1.87,2.09,2024/25,,,,,,,,,,,,,
F2,,13:00,Caen,Lorient,1,2,A,1,1,D,4,14,1,5,19,16,0,4,2,0,0,0,3.2,3.8,2.05,3.3,3.5,2.05,3.25,3.6,2.05,3.41,3.48,2.16,3.4,3.4,2.05,3.4,3.44,2.14,3.41,3.8,2.17,3.31,3.44,2.1,3.45,3.6,2.16,1.9,1.95,1.9,1.95,1.93,1.97,1.86,1.91,1.9,1.98,0.25,2.0,1.85,2.01,1.87,2.05,1.9,1.98,1.81,2.04,1.87,3.0,3.8,2.1,3.2,3.4,2.15,3.25,3.4,2.1,3.32,3.54,2.2,3.2,3.5,2.1,3.1,3.93,2.18,3.32,3.93,2.21,3.18,3.51,2.14,3.45,3.7,2.22,1.83,2.03,1.85,2.02,1.97,2.14,1.81,1.97,1.87,2.1,0.25,1.98,1.88,1.98,1.91,2.02,1.95,1.95,1.86,2.06,1.92,2024/25,,,,,,,,,,,,,
F2,,19:00,Lorient,Annecy,4,2,H,0,1,A,19,9,9,4,12,14,6,1,1,2,0,0,1.48,4.0,5.5,1.53,4.2,5.5,1.5,4.2,6.0,1.52,4.24,5.98,1.5,4.2,5.8,1.55,4.3,5.71,1.55,4.4,6.2,1.51,4.18,5.75,1.55,4.4,6.4,1.7,2.1,1.74,2.09,1.76,2.13,1.72,2.07,1.75,2.16,-1.0,1.9,1.95,1.9,1.95,1.94,2.0,1.88,1.91,1.91,1.97,1.41,4.1,5.75,1.46,4.4,6.25,1.44,4.33,6.5,1.47,4.61,6.84,1.44,4.33,6.5,1.49,4.61,6.86,1.5,4.7,6.86,1.46,4.42,6.3,1.52,4.7,7.6,1.65,2.2,1.68,2.26,1.74,2.26,1.66,2.17,1.75,2.28,-1.25,2.05,1.8,2.06,1.84,2.12,1.86,2.03,1.8,2.12,1.88,2024/25,,,,,,,,,,,,,
F2,,19:00,Rodez,Lorient,3,3,D,0,1,A,15,13,5,4,9,12,5,6,0,2,0,0,3.75,3.5,1.91,3.6,3.6,1.95,3.8,3.6,1.87,3.91,3.69,1.94,3.6,3.6,1.91,3.73,3.66,1.96,3.94,3.72,2.0,3.68,3.59,1.93,4.0,3.85,1.98,1.7,2.1,1.74,2.15,1.77,2.16,1.71,2.09,1.78,2.24,0.5,1.93,1.93,1.93,1.95,1.97,1.99,1.88,1.92,2.01,1.98,3.8,3.6,1.85,3.6,3.6,1.93,3.9,3.6,1.85,4.06,3.59,1.94,3.7,3.6,1.91,3.97,3.76,1.93,4.06,3.76,1.97,3.76,3.56,1.92,4.2,3.85,1.97,1.7,2.1,1.75,2.14,1.77,2.17,1.71,2.09,1.78,2.26,0.5,1.93,1.93,1.93,1.95,1.97,1.97,1.89,1.91,2.02,1.97,2024/25,,,,,,,,,,,,,
