ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
D2,,19:30,FC Koln,Hamburg,1,2,A,0,2,A,26,9,4,6,18,7,6,3,2,2,0,0,2.45,3.4,2.8,2.35,3.6,2.8,2.3,3.5,2.75,2.41,3.73,2.86,2.3,3.6,2.7,2.36,3.64,2.83,2.45,3.8,2.9,2.36,3.62,2.8,2.44,3.8,2.98,1.57,2.35,1.61,2.42,1.61,2.47,1.57,2.37,1.63,2.52,-0.25,2.08,1.73,2.11,1.82,2.13,1.82,2.04,1.79,2.12,1.87,2.0,3.6,3.5,2.05,3.7,3.3,2.05,3.7,3.1,2.1,3.76,3.43,2.0,3.7,3.25,2.06,3.68,3.6,2.15,3.88,3.6,2.05,3.74,3.34,2.14,3.9,3.55,1.53,2.4,1.57,2.51,1.57,2.58,1.54,2.44,1.62,2.58,-0.25,1.75,2.05,1.84,2.08,1.95,2.18,1.8,2.04,1.87,2.13,2024/25,,,,,,,,,,,,,
D2,,19:30,Hamburg,Hertha,1,1,D,1,0,H,13,13,3,4,9,8,9,11,2,2,0,0,1.8,4.2,3.7,1.83,4.33,3.6,1.8,4.2,3.8,1.84,4.07,3.79,1.75,4.33,3.6,1.85,4.2,3.67,1.87,4.34,3.88,1.83,4.14,3.69,1.87,4.4,4.0,1.4,2.88,1.42,2.92,1.42,3.15,1.39,2.89,1.44,3.0,-0.5,1.83,2.03,1.85,2.02,1.87,2.06,1.81,1.99,1.87,2.12,1.65,4.5,4.33,1.68,4.2,4.4,1.62,3.9,4.33,1.68,4.38,4.71,1.65,4.2,4.33,1.66,4.6,4.59,1.72,4.6,4.71,1.66,4.29,4.42,1.74,4.4,4.8,1.44,2.7,1.46,2.82,1.46,3.15,1.42,2.81,1.49,3.0,-0.75,1.83,2.03,1.85,2.07,1.92,2.08,1.82,2.01,1.91,2.07,2024/25,,,,,,,,,,,,,
D2,,17:30,Hannover,Hamburg,1,0,H,0,0,D,9,8,3,1,20,18,1,3,4,4,0,1,2.3,3.6,2.8,2.45,3.6,2.65,2.3,3.5,2.75,2.38,3.76,2.88,2.38,3.6,2.62,2.38,3.72,2.73,2.45,3.76,2.88,2.37,3.65,2.76,2.5,3.8,2.96,1.62,2.25,1.64,2.35,1.64,2.42,1.59,2.3,1.66,2.44,-0.25,2.05,1.8,2.08,1.83,2.12,1.83,2.05,1.77,2.17,1.85,2.55,3.6,2.55,2.55,3.6,2.55,2.5,3.5,2.6,2.65,3.69,2.6,2.5,3.6,2.5,2.54,3.59,2.59,2.65,3.75,2.61,2.56,3.61,2.56,2.62,3.8,2.78,1.62,2.25,1.66,2.32,1.67,2.41,1.61,2.29,1.68,2.44,0.0,1.95,1.9,1.97,1.93,1.98,1.97,1.92,1.93,1.93,2.05,2024/25,,,,,,,,,,,,,
D2,,12:00,Hamburg,PreuÃen MÃ¼nster,4,1,H,3,0,H,10,15,7,7,13,8,7,10,0,0,0,0,1.38,4.75,7.0,1.43,5.0,6.5,1.33,5.0,7.0,1.39,5.39,7.22,1.4,5.0,6.5,1.4,5.2,6.9,1.43,5.4,7.3,1.39,5.1,6.89,1.4,5.4,7.2,1.44,2.7,1.44,2.87,1.44,2.89,1.41,2.79,1.43,2.88,-1.25,1.8,2.05,1.81,2.07,1.87,2.08,1.81,2.01,1.82,2.07,1.48,4.33,6.0,1.49,4.8,5.75,1.44,4.6,6.0,1.49,4.87,6.16,1.44,4.75,5.5,1.5,4.42,6.34,1.52,4.87,6.34,1.48,4.63,5.82,1.52,5.1,6.6,1.44,2.7,1.45,2.85,1.49,2.88,1.43,2.75,1.48,3.05,-1.25,2.03,1.83,2.05,1.86,2.08,1.88,2.0,1.83,2.1,1.88,2024/25,,,,,,,,,,,,,
D2,,12:30,Hamburg,Regensburg,5,0,H,2,0,H,16,4,8,1,12,11,5,4,4,5,0,0,1.33,5.5,8.5,1.34,5.25,8.25,1.29,5.5,9.0,1.3,5.63,8.81,1.29,5.5,8.5,1.32,5.55,8.8,1.34,5.8,9.3,1.31,5.47,8.62,1.33,6.0,9.4,1.53,2.4,1.54,2.5,1.55,2.63,1.52,2.47,1.56,2.6,-1.5,1.9,1.95,1.88,1.95,1.98,2.0,1.89,1.93,,,1.44,4.75,6.25,1.41,5.0,6.75,1.3,4.75,7.0,1.43,5.08,7.02,1.36,4.8,7.0,1.44,4.82,6.6,1.44,5.5,7.7,1.4,4.99,6.89,1.44,5.3,8.2,1.57,2.35,1.56,2.55,1.57,2.6,1.53,2.47,1.6,2.64,-1.25,1.95,1.9,1.96,1.94,1.99,2.05,1.88,1.95,1.94,2.04,2024/25,,,,,,,,,,,,,
D2,,19:30,Kaiserslautern,Hamburg,2,2,D,1,0,H,10,17,4,8,9,13,3,10,2,3,0,0,3.1,3.75,2.15,2.9,3.9,2.2,3.1,3.75,2.1,3.12,3.81,2.14,2.9,3.8,2.1,3.01,3.86,2.17,3.17,3.9,2.23,3.03,3.78,2.14,3.1,4.0,2.24,1.5,2.5,1.51,2.57,1.52,2.64,1.49,2.53,1.52,2.54,0.25,1.98,1.88,1.97,1.89,2.0,1.92,1.94,1.87,1.99,1.96,3.1,3.7,2.15,3.1,3.8,2.1,3.0,3.6,2.0,3.15,3.82,2.2,3.0,3.8,2.05,3.21,3.76,2.1,3.21,3.9,2.21,3.1,3.76,2.13,3.4,3.95,2.16,1.53,2.4,1.55,2.57,1.55,2.61,1.52,2.48,1.59,2.66,0.25,1.95,1.9,1.96,1.93,2.01,1.96,1.95,1.87,2.08,1.89,2024/25,,,,,,,,,,,,,
D2,,12:00,Hamburg,Paderborn,2,2,D,0,0,D,17,12,7,6,18,12,7,3,3,3,0,0,1.75,4.0,4.2,1.75,4.1,4.1,1.73,4.2,4.0,1.77,4.37,4.05,1.73,4.0,4.0,1.78,4.2,4.0,1.79,4.38,4.2,1.76,4.15,3.98,1.79,4.4,4.2,1.48,2.6,1.51,2.64,1.51,2.7,1.47,2.58,1.53,2.72,-0.75,1.98,1.88,1.98,1.91,2.02,1.91,1.94,1.86,1.97,1.9,1.85,3.9,3.7,1.88,4.0,3.6,1.8,3.9,3.75,1.89,3.99,3.85,1.83,4.0,3.5,1.86,4.05,3.75,1.94,4.2,3.96,1.87,3.97,3.69,1.93,4.2,4.0,1.44,2.7,1.49,2.73,1.49,3.05,1.43,2.73,1.48,3.0,-0.5,1.88,1.98,1.89,2.0,1.94,2.0,1.87,1.95,1.91,2.08,2024/25,,,,,,,,,,,,,
D2,,12:30,Fortuna Dusseldorf,Hamburg,0,3,A,0,1,A,22,18,7,5,8,9,10,3,2,2,1,0,2.45,3.5,2.7,2.45,3.6,2.7,2.4,3.5,2.7,2.4,3.59,2.83,2.38,3.6,2.6,2.38,3.75,2.72,2.5,3.75,2.86,2.4,3.59,2.73,2.5,3.75,2.88,1.57,2.35,1.6,2.38,1.61,2.45,1.57,2.35,1.61,2.4,0.0,1.83,2.03,1.77,2.09,1.85,2.1,1.81,2.03,1.86,2.11,2.75,3.5,2.4,2.65,3.5,2.5,2.63,3.4,2.5,2.86,3.52,2.5,2.62,3.5,2.4,2.64,3.54,2.56,2.91,3.65,2.7,2.69,3.49,2.5,2.9,3.65,2.6,1.62,2.25,1.67,2.3,1.67,2.36,1.62,2.26,1.69,2.42,0.0,2.05,1.8,2.09,1.82,2.13,1.95,2.02,1.84,2.09,1.9,2024/25,,,,,,,,,,,,,
D2,,12:30,Hamburg,Magdeburg,3,1,H,3,0,H,13,14,5,3,7,10,4,7,2,2,1,0,1.62,4.2,4.75,1.63,4.4,4.6,1.6,4.33,4.75,1.65,4.43,4.54,1.6,4.4,4.5,1.66,4.45,4.47,1.66,4.5,5.0,1.63,4.35,4.55,1.66,4.6,5.0,1.44,2.7,1.45,2.79,1.45,3.0,1.41,2.78,1.44,2.74,-1.0,1.99,1.74,2.05,1.81,2.11,1.84,2.02,1.8,,,1.67,4.2,4.33,1.7,4.2,4.33,1.62,4.0,4.2,1.7,4.25,4.69,1.62,4.33,4.33,1.69,4.29,4.42,1.74,4.45,4.75,1.68,4.24,4.44,1.75,4.5,4.7,1.36,3.1,1.38,3.18,1.39,3.35,1.35,3.11,1.41,3.35,-0.75,1.85,2.0,1.87,2.03,1.91,2.03,1.84,2.0,1.91,2.06,2024/25,,,,,,,,,,,,,
D2,,12:00,Elversberg,Hamburg,4,2,H,1,1,D,18,9,10,4,10,14,6,3,0,0,0,0,3.6,3.8,1.91,3.25,3.9,2.05,3.4,3.9,1.91,3.4,4.0,2.02,3.3,3.9,1.91,3.42,3.92,1.98,3.6,4.09,2.05,3.36,3.9,1.98,3.5,4.1,2.04,1.44,2.7,1.48,2.74,1.48,2.83,1.44,2.7,1.49,2.84,0.5,1.88,1.98,1.85,2.03,1.91,2.03,1.85,1.96,1.94,2.04,2.63,3.6,2.45,2.7,3.7,2.37,2.75,3.6,2.3,2.72,3.72,2.52,2.62,3.75,2.3,2.95,3.66,2.27,2.95,3.8,2.52,2.75,3.65,2.37,2.92,3.85,2.48,1.48,2.6,1.51,2.66,1.51,2.76,1.46,2.66,1.53,2.84,0.0,2.0,1.85,2.03,1.87,2.2,1.91,2.08,1.79,2.16,1.84,2024/25,,,,,,,,,,,,,
