ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
F2,,13:30,Caen,Paris FC,0,2,A,0,0,D,9,13,5,5,15,13,9,3,3,1,0,0,2.4,3.2,2.8,2.4,3.2,2.9,2.55,3.2,2.8,2.52,3.15,2.94,2.4,3.2,2.88,2.49,3.28,2.88,2.56,3.28,3.01,2.47,3.15,2.88,2.54,3.25,3.05,2.2,1.65,2.21,1.67,2.31,1.69,2.2,1.64,2.22,1.67,-0.25,2.08,1.73,2.15,1.72,2.16,1.81,2.11,1.73,2.16,1.81,2.6,3.2,2.55,2.65,3.2,2.6,2.88,3.0,2.5,2.81,3.13,2.76,2.7,3.25,2.5,2.74,3.37,2.68,2.99,3.37,2.76,2.76,3.13,2.59,2.92,3.25,2.8,2.15,1.67,2.18,1.72,2.32,1.77,2.13,1.69,2.22,1.8,0.0,1.95,1.9,1.96,1.93,2.0,1.96,1.97,1.88,2.04,1.95,2024/25,,,,,,,,,,,,,
F2,,19:00,Paris FC,Dunkerque,3,2,H,0,1,A,9,6,4,2,8,17,7,1,1,2,0,0,1.65,3.5,4.75,1.7,3.7,4.75,1.67,3.7,5.0,1.71,3.75,5.18,1.67,3.75,4.6,1.72,3.84,4.77,1.75,3.84,5.18,1.69,3.68,4.81,1.74,3.95,5.3,1.9,1.95,1.94,1.93,1.96,1.98,1.89,1.89,1.99,1.98,-0.75,1.9,1.95,1.93,1.95,1.95,1.99,1.91,1.91,1.95,1.99,1.7,3.5,4.5,1.7,3.7,4.75,1.65,3.5,4.75,1.74,3.73,5.03,1.67,3.75,4.6,1.73,3.82,5.09,1.77,3.82,5.1,1.71,3.64,4.75,1.77,3.9,5.4,1.93,1.93,1.93,1.93,1.98,1.96,1.89,1.89,2.02,1.96,-0.75,1.95,1.9,1.96,1.93,2.01,1.95,1.94,1.88,1.99,1.99,2024/25,,,,,,,,,,,,,
F2,,19:00,Clermont,Paris FC,0,1,A,0,1,A,6,6,2,3,12,9,4,4,0,1,1,0,3.25,3.1,2.15,3.2,3.25,2.2,3.2,3.2,2.25,3.47,3.33,2.22,3.2,3.2,2.2,3.31,3.3,2.26,3.47,3.34,2.35,3.28,3.24,2.2,3.45,3.45,2.3,2.05,1.75,2.07,1.8,2.14,1.81,2.03,1.76,2.12,1.84,0.25,1.93,1.93,1.93,1.95,1.99,1.98,1.89,1.91,1.98,1.98,3.0,3.1,2.3,3.0,3.2,2.3,3.0,3.2,2.3,3.19,3.35,2.34,3.0,3.2,2.3,3.28,3.26,2.36,3.28,3.36,2.38,3.08,3.22,2.31,3.3,3.4,2.44,2.03,1.83,2.04,1.84,2.12,1.85,2.01,1.78,2.12,1.88,0.25,1.85,2.0,1.88,2.02,1.92,2.04,1.85,1.97,1.9,2.08,2024/25,,,,,,,,,,,,,
F2,,13:30,Paris FC,Metz,1,2,A,1,2,A,13,7,7,5,16,19,5,2,1,3,0,0,2.25,3.0,3.1,2.3,3.2,3.1,2.4,3.1,3.1,2.25,3.18,3.32,2.2,3.25,3.1,2.26,3.3,3.29,2.4,3.3,3.41,2.26,3.14,3.23,2.32,3.2,3.5,2.2,1.65,2.18,1.68,2.23,1.7,2.17,1.66,2.2,1.69,-0.25,1.98,1.88,1.94,1.89,2.02,1.93,1.93,1.87,1.97,1.93,2.2,3.1,3.2,2.2,3.2,3.25,2.2,3.0,3.4,2.31,3.11,3.51,2.15,3.3,3.2,2.37,3.26,3.25,2.37,3.3,3.51,2.25,3.11,3.29,2.34,3.2,3.7,2.15,1.67,2.23,1.7,2.32,1.73,2.14,1.68,2.3,1.75,-0.25,1.98,1.88,1.96,1.92,2.0,1.94,1.93,1.88,1.98,1.98,2024/25,,,,,,,,,,,,,
F2,,19:00,Bastia,Paris FC,2,1,H,2,1,H,15,13,5,5,11,16,3,6,3,4,1,2,3.2,3.0,2.25,3.1,3.1,2.35,3.1,3.1,2.3,3.3,3.13,2.4,3.1,3.1,2.3,3.24,3.06,2.41,3.36,3.16,2.49,3.16,3.07,2.35,3.4,3.2,2.48,2.25,1.62,2.3,1.66,2.36,1.66,2.24,1.63,2.38,1.7,0.25,1.83,2.03,1.85,2.04,1.88,2.06,1.81,2.0,1.88,2.09,3.0,2.9,2.38,2.95,3.0,2.45,2.9,2.88,2.4,3.11,3.06,2.56,2.9,3.1,2.45,3.16,3.06,2.55,3.16,3.14,2.56,2.99,3.0,2.48,3.2,3.15,2.64,2.4,1.53,2.43,1.6,2.43,1.62,2.35,1.57,2.54,1.62,0.25,1.78,2.1,1.75,2.16,1.84,2.17,1.76,2.08,1.8,2.23,2024/25,,,,,,,,,,,,,
F2,,19:30,Paris FC,Guingamp,2,0,H,1,0,H,10,9,8,5,14,21,2,2,1,2,0,0,2.5,3.1,2.88,2.5,3.1,2.85,2.5,3.0,2.9,2.64,3.04,3.03,2.4,3.2,2.88,2.51,3.24,2.9,2.64,3.24,3.2,2.49,3.07,2.93,2.6,3.2,3.1,2.2,1.65,2.31,1.65,2.32,1.68,2.22,1.64,2.36,1.72,-0.25,2.15,1.68,2.18,1.74,2.21,1.82,2.1,1.72,2.22,1.78,2.25,3.2,3.25,2.25,3.1,3.2,2.25,3.0,3.3,2.33,3.16,3.42,2.2,3.25,3.1,2.31,3.29,3.34,2.35,3.29,3.42,2.27,3.13,3.25,2.38,3.25,3.6,2.15,1.67,2.26,1.68,2.32,1.72,2.2,1.65,2.28,1.76,-0.25,1.98,1.88,1.98,1.91,2.0,1.95,1.94,1.87,2.01,1.97,2024/25,,,,,,,,,,,,,
F2,,13:00,Red Star,Paris FC,1,3,A,1,2,A,12,11,4,6,16,12,6,7,3,2,0,0,3.6,3.25,2.0,3.4,3.4,2.05,3.6,3.3,2.0,3.62,3.51,2.07,3.4,3.5,2.0,3.59,3.6,2.05,3.75,3.6,2.09,3.52,3.41,2.03,3.8,3.5,2.08,2.05,1.8,2.05,1.81,2.16,1.83,2.03,1.76,2.08,1.83,0.5,1.8,2.05,1.81,2.07,1.83,2.09,1.78,2.02,1.84,2.08,3.7,3.3,1.95,3.5,3.3,2.05,3.6,3.3,1.91,3.84,3.6,1.99,3.5,3.4,2.0,3.88,3.46,2.05,3.88,3.6,2.05,3.62,3.4,2.0,4.0,3.65,2.06,2.03,1.83,2.04,1.84,2.11,1.87,2.01,1.78,2.08,1.89,0.5,1.88,1.98,1.89,2.0,1.91,2.05,1.82,1.99,1.92,2.06,2024/25,,,,,,,,,,,,,
F2,,19:00,Paris FC,Laval,1,0,H,0,0,D,21,6,8,1,8,9,11,4,0,1,0,0,1.75,3.7,4.5,1.77,3.5,4.4,1.75,3.6,4.5,1.78,3.56,5.03,1.73,3.6,4.5,1.8,3.68,4.44,1.8,3.7,5.03,1.76,3.54,4.59,1.81,3.7,5.3,2.05,1.75,2.06,1.83,2.11,1.83,2.01,1.77,2.12,1.87,-0.75,1.98,1.88,2.03,1.86,2.04,1.92,1.98,1.82,2.04,1.91,1.65,3.8,5.0,1.66,3.7,5.0,1.62,3.6,5.5,1.68,3.65,5.72,1.65,3.75,5.0,1.72,3.92,4.98,1.72,3.92,5.74,1.67,3.68,5.09,1.74,3.85,5.8,2.03,1.83,2.06,1.82,2.1,1.88,1.99,1.8,2.1,1.88,-0.75,1.88,1.98,1.89,1.99,1.95,2.03,1.87,1.94,1.95,2.03,2024/25,,,,,,,,,,,,,
F2,,19:45,Troyes,Paris FC,0,3,A,0,2,A,11,11,3,6,8,14,6,3,1,3,0,0,3.8,3.3,1.83,3.7,3.5,1.95,3.9,3.5,1.9,4.08,3.58,1.87,3.8,3.6,1.85,4.0,3.64,1.9,4.1,3.67,2.0,3.88,3.49,1.88,4.0,3.55,1.86,1.95,1.9,1.94,1.88,2.0,1.9,1.92,1.84,,,0.5,1.87,1.87,1.95,1.88,1.95,1.98,1.89,1.89,,,4.1,3.4,1.72,4.4,3.6,1.75,4.2,3.5,1.8,4.56,3.67,1.82,4.2,3.7,1.75,4.55,3.64,1.85,4.56,3.7,1.86,4.21,3.57,1.8,4.9,3.75,1.87,1.93,1.93,1.93,1.94,1.99,1.94,1.91,1.87,2.02,1.97,0.5,2.03,1.75,2.07,1.83,2.13,1.86,2.01,1.79,2.12,1.87,2024/25,,,,,,,,,,,,,
F2,,13:00,Paris FC,Grenoble,2,1,H,2,0,H,18,8,9,3,17,14,6,5,2,3,0,0,1.67,3.7,5.0,1.7,3.6,4.75,1.67,3.6,5.0,1.68,3.6,5.7,1.67,3.7,4.8,1.7,3.78,5.0,1.72,3.78,5.8,1.68,3.61,5.08,1.7,3.7,5.7,1.99,1.74,2.07,1.79,2.13,1.83,2.01,1.76,2.06,1.82,-0.75,1.88,1.98,1.91,1.96,1.94,2.0,1.87,1.91,1.88,1.98,1.53,4.0,5.75,1.55,3.9,5.75,1.47,3.8,6.0,1.57,3.93,6.55,1.53,3.9,5.8,1.58,4.15,6.19,1.62,4.15,6.58,1.56,3.88,5.85,1.6,4.3,7.0,1.9,1.95,1.92,1.95,2.06,2.02,1.89,1.89,1.97,2.0,-1.0,1.98,1.88,1.99,1.89,2.12,1.94,1.96,1.86,2.03,1.95,2024/25,,,,,,,,,,,,,
