ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
I2,,19:30,Pisa,Spezia,2,2,D,1,2,A,19,6,4,3,10,22,7,2,4,2,0,0,2.5,3.2,2.88,2.37,3.1,3.0,2.45,3.2,2.88,2.71,2.98,2.91,2.4,3.1,2.9,2.6,3.16,2.83,2.73,3.2,3.0,2.56,3.05,2.88,2.68,3.05,2.98,2.35,1.57,2.46,1.57,2.51,1.61,2.37,1.56,,,0.0,1.75,2.13,1.76,2.15,1.83,2.15,1.79,2.07,1.85,2.06,2.3,3.3,3.0,2.3,3.1,3.1,2.25,2.9,3.1,2.37,3.17,3.37,2.4,3.1,2.9,2.32,3.28,3.17,2.4,3.34,3.37,2.33,3.15,3.14,2.46,3.25,3.45,2.25,1.62,2.27,1.68,2.35,1.68,2.22,1.64,2.38,1.7,-0.25,2.0,1.85,2.02,1.88,2.07,1.92,1.99,1.84,2.08,1.9,2024/25,,,,,,,,,,,,,
I2,,19:30,Pisa,Palermo,2,0,H,1,0,H,11,16,4,4,8,20,6,7,2,2,0,0,2.5,3.1,3.0,2.37,3.3,2.85,2.45,3.2,2.88,2.51,3.16,3.0,2.38,3.3,2.8,2.45,3.35,2.91,2.51,3.35,3.0,2.43,3.21,2.9,2.58,3.1,2.96,2.05,1.75,2.1,1.76,2.14,1.81,2.04,1.75,,,-0.25,2.08,1.73,2.14,1.75,2.19,1.79,2.09,1.75,2.22,1.75,2.15,3.2,3.6,2.1,3.2,3.5,2.05,3.0,3.6,2.18,3.17,3.84,2.38,3.3,2.8,2.1,3.19,3.72,2.19,3.4,3.84,2.13,3.18,3.57,2.22,3.25,3.95,2.05,1.75,2.11,1.78,2.16,1.81,2.02,1.76,2.14,1.86,-0.25,1.83,2.03,1.86,2.05,1.87,2.06,1.83,2.01,1.88,2.1,2024/25,,,,,,,,,,,,,
I2,,19:30,Cittadella,Pisa,1,1,D,1,1,D,9,18,4,1,14,18,2,5,4,1,0,0,3.6,3.1,2.25,3.25,3.1,2.2,3.4,3.0,2.2,3.58,3.15,2.29,2.6,3.25,2.62,3.23,3.34,2.27,3.6,3.34,2.35,3.34,3.11,2.25,3.6,3.25,2.32,2.15,1.67,2.19,1.73,2.25,1.74,2.12,1.69,2.3,1.74,0.25,1.93,1.93,1.95,1.95,1.99,1.97,1.91,1.9,1.98,1.97,3.8,3.1,2.1,3.7,3.1,2.1,3.6,3.0,2.1,3.99,3.18,2.13,2.6,3.25,2.62,3.97,3.18,2.04,3.99,3.2,2.24,3.73,3.1,2.12,4.0,3.25,2.2,2.15,1.67,2.22,1.71,2.26,1.72,2.15,1.67,2.34,1.72,0.25,2.05,1.8,2.11,1.82,2.12,1.85,2.06,1.78,2.11,1.87,2024/25,,,,,,,,,,,,,
I2,,19:30,Pisa,Reggiana,2,1,H,1,0,H,15,8,5,5,12,17,1,4,0,4,0,0,1.67,3.75,5.0,1.7,3.6,4.8,1.73,3.5,5.0,1.72,3.53,5.22,1.67,3.7,4.8,1.75,3.66,4.81,1.82,3.75,5.3,1.72,3.54,4.89,1.18,1.18,1.04,2.1,1.7,2.16,1.73,2.17,1.75,2.1,1.7,1.07,1.34,-0.75,1.95,1.9,1.97,1.89,2.0,1.95,1.95,1.87,1.18,1.52,1.8,3.6,4.33,1.8,3.4,4.5,1.75,3.3,4.75,1.83,3.35,5.21,1.67,3.7,4.8,1.81,3.62,4.36,1.89,3.62,5.4,1.8,3.38,4.66,1.89,3.5,5.3,2.2,1.65,2.3,1.67,2.37,1.69,2.22,1.63,2.32,1.74,-0.5,1.83,2.03,1.84,2.08,1.85,2.08,1.78,2.04,1.89,2.11,2024/25,,,,,,,,,,,,,
I2,,16:30,Salernitana,Pisa,2,3,A,1,2,A,12,8,7,5,8,17,8,0,3,3,0,0,2.6,3.25,2.7,2.4,3.3,2.8,2.55,3.3,2.7,2.61,3.26,2.75,2.45,3.25,2.75,2.56,3.44,2.68,2.66,3.44,2.9,2.55,3.25,2.72,2.58,3.2,2.66,1.93,1.93,1.92,1.9,1.96,1.93,1.9,1.87,1.78,1.91,0.0,1.88,1.98,1.87,1.97,1.89,2.0,1.86,1.97,,,3.1,3.1,2.38,2.9,3.2,2.37,2.9,3.0,2.45,3.25,3.21,2.42,2.45,3.25,2.75,3.13,3.13,2.39,2.85,3.15,2.5,2.85,3.15,2.5,3.25,3.25,2.52,2.05,1.8,2.06,1.83,1.94,1.75,1.94,1.75,2.12,1.87,0.0,2.2,1.65,2.28,1.69,2.02,1.75,2.02,1.75,2.26,1.76,2024/25,,,,,,,,,,,,,
I2,,14:00,Pisa,Brescia,2,1,H,1,0,H,13,14,5,5,6,14,2,4,1,3,0,0,1.91,3.4,4.2,1.9,3.25,4.2,1.85,3.3,4.33,1.92,3.16,4.67,1.91,3.25,4.2,1.93,3.2,4.54,2.05,3.4,4.75,1.92,3.21,4.34,1.99,3.2,4.7,2.15,1.67,2.23,1.68,2.23,1.71,2.17,1.66,2.22,1.71,-0.5,1.93,1.93,1.93,1.93,1.99,1.98,1.9,1.91,1.99,1.94,1.95,3.4,4.0,1.93,3.3,3.9,1.91,3.1,4.33,1.98,3.21,4.58,1.91,3.25,4.2,1.95,3.4,3.99,2.1,3.4,4.6,1.96,3.22,4.12,2.0,3.35,4.8,2.15,1.67,2.23,1.71,2.26,1.74,2.16,1.67,2.28,1.75,-0.5,1.95,1.9,1.99,1.92,2.01,1.94,1.95,1.88,2.0,1.98,2024/25,,,,,,,,,,,,,
I2,,14:00,Juve Stabia,Pisa,2,0,H,1,0,H,13,8,6,2,21,14,7,1,4,1,0,1,2.8,3.2,2.6,2.85,3.1,2.45,2.88,3.1,2.55,2.94,2.99,2.67,2.7,3.2,2.5,2.85,3.2,2.55,2.97,3.2,2.7,2.85,3.05,2.57,2.96,3.0,2.68,2.25,1.62,2.37,1.6,2.4,1.62,2.28,1.6,2.32,1.66,0.0,2.05,1.8,2.04,1.83,2.11,1.83,2.03,1.81,2.04,1.83,2.9,3.1,2.5,2.95,2.95,2.5,3.1,2.88,2.5,3.2,2.93,2.64,2.7,3.2,2.5,2.9,3.2,2.5,3.2,3.2,2.7,3.01,2.97,2.53,3.25,3.05,2.62,2.35,1.57,2.42,1.61,2.45,1.61,2.34,1.57,2.54,1.63,0.0,2.1,1.78,2.17,1.78,2.19,1.84,2.1,1.78,2.22,1.78,2024/25,,,,,,,,,,,,,
I2,,14:00,Pisa,Cesena,3,1,H,2,0,H,14,6,7,2,5,12,5,7,3,1,0,0,2.2,3.2,3.4,2.3,3.2,3.1,2.2,3.1,3.3,2.29,3.16,3.5,2.3,3.2,3.0,2.24,3.28,3.35,2.35,3.28,3.51,2.25,3.16,3.3,2.28,3.2,3.55,2.08,1.73,2.12,1.75,2.16,1.77,2.08,1.71,2.1,1.8,-0.25,1.93,1.93,1.95,1.93,1.98,1.99,1.91,1.91,1.94,1.97,2.4,3.1,3.1,2.45,3.1,2.95,2.4,2.88,2.88,2.56,3.09,3.14,2.3,3.2,3.0,2.44,3.09,3.09,2.58,3.1,3.17,2.46,3.04,3.02,2.62,3.15,3.2,2.2,1.65,2.31,1.66,2.35,1.69,2.24,1.63,2.36,1.71,-0.25,2.05,1.8,2.17,1.78,2.17,1.81,2.09,1.76,2.21,1.81,2024/25,,,,,,,,,,,,,
I2,,14:00,Sudtirol,Pisa,1,2,A,1,1,D,7,11,3,2,15,15,3,2,1,3,0,0,3.1,2.63,2.8,2.9,2.8,2.65,2.9,2.8,2.7,3.12,2.71,2.78,2.88,2.88,2.62,2.98,2.92,2.65,3.14,2.92,2.83,3.01,2.74,2.72,3.05,2.82,2.8,2.6,1.48,2.73,1.48,2.73,1.5,2.6,1.47,2.66,1.52,0.0,1.97,1.77,2.06,1.83,2.06,1.88,2.02,1.81,2.0,1.85,2.7,2.63,3.25,2.55,2.65,3.25,2.63,2.63,3.2,2.67,2.69,3.49,2.88,2.88,2.62,2.71,2.61,3.26,2.8,2.76,3.6,2.62,2.64,3.31,2.78,2.78,3.5,2.88,1.4,2.99,1.42,2.99,1.43,2.83,1.41,3.05,1.46,-0.25,2.2,1.65,2.2,1.75,2.28,1.83,2.15,1.73,2.27,1.56,2024/25,,,,,,,,,,,,,
I2,,14:00,Frosinone,Pisa,0,0,D,0,0,D,11,20,3,4,15,11,4,13,3,3,1,0,2.63,3.3,2.63,2.55,3.2,2.7,2.7,3.2,2.7,2.8,3.0,2.78,2.6,3.25,2.62,2.67,3.3,2.65,2.8,3.3,2.8,2.67,3.11,2.7,2.72,3.15,2.76,2.15,1.63,2.16,1.71,2.21,1.73,2.12,1.69,2.08,1.61,0.0,1.93,1.93,1.93,1.92,1.94,2.0,1.91,1.92,,,3.0,3.1,2.45,3.0,2.95,2.45,3.0,2.8,2.4,3.25,3.02,2.54,2.6,3.25,2.62,3.02,3.12,2.46,3.25,3.12,2.56,3.04,2.99,2.48,3.35,3.05,2.6,2.3,1.6,2.35,1.65,2.38,1.65,2.29,1.6,2.44,1.66,0.25,1.75,2.13,1.79,2.15,1.81,2.17,1.76,2.1,1.82,2.19,2024/25,,,,,,,,,,,,,
