ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
SP2,,18:00,La Coruna,Oviedo,0,1,A,0,1,A,17,7,7,4,9,22,3,5,3,4,0,0,2.5,3.1,2.9,2.4,3.0,2.85,2.4,2.9,2.9,2.59,3.02,3.02,2.3,3.1,3.1,2.58,3.05,2.97,2.63,3.15,3.04,2.52,3.03,2.93,2.58,3.05,3.2,2.35,1.57,2.43,1.58,2.44,1.6,2.35,1.57,2.44,1.61,0.0,1.78,2.1,1.79,2.1,1.81,2.14,1.78,2.08,1.75,2.16,2.05,3.1,3.9,2.05,2.87,3.8,2.0,2.8,3.75,2.14,3.05,4.19,2.3,3.1,3.1,2.07,3.11,3.95,2.2,3.11,4.19,2.13,2.97,3.83,2.2,3.15,4.3,2.7,1.44,2.74,1.5,2.74,1.5,2.63,1.46,2.8,1.54,-0.25,1.75,2.05,1.81,2.12,1.85,2.14,1.79,2.03,1.85,2.15,2024/25,,,,,,,,,,,,,
SP2,,20:30,Castellon,Oviedo,0,0,D,0,0,D,20,7,6,1,14,16,10,3,0,2,0,0,2.1,3.2,3.75,2.1,3.1,3.4,2.0,3.0,3.6,2.15,3.21,3.65,2.1,3.25,3.4,2.13,3.34,3.54,2.21,3.34,3.75,2.12,3.16,3.54,2.14,3.15,3.7,2.25,1.62,2.28,1.65,2.32,1.65,2.24,1.62,2.18,1.66,-0.25,1.83,2.03,1.84,2.02,1.85,2.05,1.81,2.0,,,1.95,3.2,4.0,1.98,3.1,3.7,1.91,3.0,3.8,2.02,3.19,4.44,2.1,3.25,3.4,1.95,3.25,4.21,2.06,3.25,4.44,1.99,3.15,4.05,2.08,3.35,4.4,2.15,1.67,2.26,1.69,2.33,1.7,2.21,1.64,2.32,1.74,-0.5,2.0,1.85,2.02,1.88,2.06,1.92,1.99,1.82,2.08,1.92,2024/25,,,,,,,,,,,,,
SP2,,20:30,Oviedo,Santander,1,3,A,1,2,A,18,11,3,5,11,24,4,4,2,2,0,0,2.15,3.3,3.4,2.1,3.2,3.2,2.05,3.1,3.4,2.22,3.28,3.59,,,,2.2,3.26,3.45,2.22,3.3,3.59,2.16,3.23,3.4,2.22,3.4,3.75,2.05,1.8,2.04,1.85,2.11,1.85,1.99,1.79,2.1,1.89,-0.25,1.88,1.98,1.9,2.0,1.92,2.02,1.85,1.96,1.91,2.08,2.1,3.3,3.6,2.1,3.1,3.3,2.0,2.88,3.5,2.16,3.14,3.94,,,,2.06,3.3,3.73,2.19,3.3,3.94,2.11,3.15,3.6,2.22,3.25,3.95,2.05,1.75,2.07,1.83,2.26,1.84,2.03,1.76,2.18,1.83,-0.25,1.83,2.03,1.84,2.08,1.89,2.09,1.8,2.04,1.89,2.09,2024/25,,,,,,,,,,,,,
SP2,,17:30,Sp Gijon,Oviedo,3,1,H,2,0,H,10,11,8,3,22,11,1,6,4,3,0,0,2.15,3.25,3.5,2.15,3.0,3.3,2.1,2.9,3.5,2.2,3.02,3.77,2.25,3.0,3.3,2.22,3.05,3.66,2.28,3.25,3.86,2.19,2.99,3.58,2.28,3.15,3.7,2.5,1.5,2.66,1.5,2.66,1.52,2.56,1.49,2.64,1.54,-0.25,1.88,1.98,1.88,2.0,1.94,2.0,1.85,1.94,1.94,1.98,2.5,3.0,3.0,2.4,2.87,3.0,2.3,2.8,3.1,2.58,2.91,3.32,2.25,3.0,3.3,2.44,2.99,3.19,2.58,3.0,3.41,2.46,2.89,3.17,2.58,3.05,3.45,2.6,1.48,2.71,1.51,2.74,1.53,2.56,1.49,2.76,1.54,-0.25,2.1,1.7,2.16,1.78,2.19,1.79,2.08,1.76,2.15,1.84,2024/25,,,,,,,,,,,,,
SP2,,15:15,Oviedo,Cartagena,1,0,H,0,0,D,16,5,3,2,17,7,6,0,3,3,0,0,1.73,3.5,5.0,1.68,3.4,5.0,1.6,3.3,5.5,1.69,3.46,5.62,1.65,3.5,5.5,1.73,3.54,5.25,1.77,3.55,5.8,1.7,3.44,5.2,1.71,3.35,6.2,2.35,1.57,2.39,1.58,2.41,1.6,2.35,1.57,2.28,1.58,-0.75,1.93,1.93,1.93,1.91,2.04,1.93,1.94,1.88,,,1.53,4.0,6.25,1.52,3.75,6.0,1.44,3.5,6.5,1.55,3.95,7.11,1.65,3.5,5.5,1.55,4.02,6.06,1.57,4.02,7.11,1.54,3.83,6.39,1.59,4.0,7.8,2.15,1.67,2.24,1.7,2.26,1.75,2.18,1.66,2.3,1.76,-1.0,1.98,1.88,2.0,1.91,2.08,1.91,1.98,1.86,2.02,1.94,2024/25,,,,,,,,,,,,,
SP2,,17:30,Eldense,Oviedo,1,1,D,1,1,D,16,10,4,5,12,13,7,5,2,3,1,0,3.0,2.88,2.63,2.8,2.87,2.5,2.88,2.8,2.55,3.03,2.92,2.65,,,,3.05,2.88,2.66,3.06,2.97,2.7,2.95,2.89,2.6,3.1,2.88,2.7,2.6,1.48,2.72,1.47,2.72,1.5,2.62,1.46,2.72,1.49,0.0,2.05,1.8,2.08,1.81,2.09,1.85,2.06,1.8,2.06,1.8,2.9,2.88,2.7,2.7,2.85,2.65,2.8,2.63,2.7,3.05,2.73,2.95,,,,2.92,2.85,2.77,3.05,2.9,2.98,2.89,2.78,2.77,3.05,2.92,3.0,2.7,1.44,2.85,1.47,2.85,1.5,2.66,1.46,2.84,1.53,0.0,1.98,1.88,1.98,1.93,2.06,1.97,1.99,1.88,2.0,1.97,2024/25,,,,,,,,,,,,,
SP2,,17:30,Oviedo,Eibar,1,0,H,0,0,D,19,8,5,2,8,12,7,4,1,2,0,1,2.25,2.9,3.7,2.15,2.95,3.4,2.15,2.9,3.4,2.27,3.01,3.61,,,,2.27,3.04,3.53,2.29,3.08,3.7,2.22,2.97,3.52,2.26,3.0,3.85,2.5,1.5,2.55,1.53,2.56,1.55,2.48,1.52,2.5,1.55,-0.25,1.93,1.93,1.92,1.93,1.95,1.98,1.87,1.92,,,2.05,3.0,4.0,2.05,2.9,3.8,2.0,2.8,3.9,2.11,3.05,4.3,,,,2.08,3.04,4.05,2.16,3.1,4.3,2.08,2.99,3.96,2.16,3.1,4.5,2.35,1.57,2.47,1.59,2.47,1.62,2.38,1.56,2.5,1.65,-0.25,1.75,2.05,1.78,2.14,1.85,2.19,1.76,2.07,1.81,2.18,2024/25,,,,,,,,,,,,,
SP2,,17:30,Levante,Oviedo,0,0,D,0,0,D,8,12,1,1,12,21,1,9,3,3,0,0,2.1,3.3,3.5,2.05,3.2,3.4,2.0,3.1,3.5,2.13,3.28,3.64,,,,2.16,3.2,3.62,2.16,3.35,3.68,2.1,3.23,3.52,2.18,3.25,3.7,2.1,1.7,2.13,1.73,2.21,1.74,2.11,1.7,2.18,1.76,-0.25,1.83,2.03,1.83,2.04,1.83,2.08,1.8,2.01,,,2.2,3.3,3.3,2.2,3.1,3.1,2.15,3.0,3.25,2.28,3.22,3.51,,,,2.16,3.31,3.43,2.29,3.31,3.65,2.2,3.19,3.33,2.36,3.3,3.6,2.08,1.73,2.16,1.76,2.16,1.78,2.08,1.72,2.2,1.8,-0.25,1.93,1.93,1.95,1.95,1.98,2.0,1.89,1.94,2.0,1.98,2024/25,,,,,,,,,,,,,
SP2,,15:15,Oviedo,Almeria,3,2,H,2,1,H,24,8,10,5,15,20,6,0,2,3,0,2,2.35,3.25,3.0,2.25,3.2,2.9,2.3,3.1,2.9,2.42,3.21,3.08,2.25,3.3,3.0,2.38,3.3,3.04,2.44,3.3,3.15,2.35,3.2,3.01,2.48,3.15,3.1,2.05,1.75,2.1,1.75,2.2,1.81,2.04,1.75,2.06,1.75,-0.25,2.05,1.8,2.07,1.79,2.14,1.83,2.02,1.78,2.07,1.75,2.05,3.3,3.6,2.05,3.1,3.4,2.0,3.0,3.75,2.14,3.27,3.84,2.25,3.3,3.0,2.07,3.33,3.63,2.19,3.33,3.91,2.07,3.2,3.66,2.14,3.3,4.2,2.1,1.7,2.13,1.78,2.26,1.78,2.09,1.72,2.18,1.83,-0.25,1.8,2.05,1.83,2.09,1.85,2.12,1.78,2.06,1.82,2.19,2024/25,,,,,,,,,,,,,
SP2,,15:15,Malaga,Oviedo,0,0,D,0,0,D,12,20,4,7,11,23,6,6,2,3,0,1,2.7,3.0,2.8,2.65,2.87,2.65,2.55,2.8,2.8,2.77,2.87,2.95,,,,2.69,3.08,2.79,2.81,3.08,2.95,2.68,2.9,2.84,2.8,2.94,3.05,2.5,1.5,2.67,1.5,2.67,1.51,2.54,1.49,2.48,1.48,0.0,1.79,1.94,1.87,2.0,1.9,2.05,1.85,1.97,1.86,2.04,3.0,2.8,2.63,2.9,2.7,2.6,3.0,2.55,2.63,3.21,2.71,2.84,,,,3.04,2.84,2.66,3.21,2.85,2.88,3.0,2.72,2.73,3.3,2.84,2.88,3.1,1.36,3.09,1.4,3.1,1.41,2.93,1.38,3.15,1.45,0.0,2.05,1.8,2.08,1.83,2.11,1.91,2.02,1.84,2.13,1.86,2024/25,,,,,,,,,,,,,
