ï»¿Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA,Season,Div,IWH,IWD,IWA,VCH,VCD,VCA,IWCH,IWCD,IWCA,VCCH,VCCD,VCCA
I2,,19:30,Catanzaro,Sassuolo,1,1,D,0,1,A,9,12,4,6,11,7,3,7,3,4,0,0,3.5,3.2,2.2,3.25,3.25,2.2,3.3,3.3,2.15,3.72,3.21,2.12,3.0,3.3,2.25,3.49,3.48,2.1,3.79,3.48,2.22,3.46,3.23,2.14,3.8,3.2,2.12,2.05,1.75,2.01,1.83,2.14,1.83,2.02,1.76,,,0.25,1.98,1.88,2.04,1.82,2.04,1.92,1.98,1.83,2.09,1.8,3.3,3.3,2.2,3.25,3.3,2.15,3.25,3.1,2.1,3.49,3.31,2.25,3.4,3.2,2.1,3.38,3.28,2.18,3.49,3.45,2.27,3.31,3.27,2.19,3.55,3.4,2.3,1.93,1.93,1.95,1.93,1.96,1.96,1.89,1.89,1.96,2.0,0.25,1.95,1.9,1.98,1.93,2.02,1.94,1.95,1.87,2.02,1.97,2024/25,,,,,,,,,,,,,
I2,,19:30,Sassuolo,Cesena,2,1,H,1,0,H,13,23,6,6,10,14,3,9,3,2,0,0,1.85,3.7,3.9,1.85,3.6,4.0,1.8,3.8,3.9,1.85,3.7,4.14,1.85,3.4,4.0,1.87,3.72,4.07,1.9,3.8,4.14,1.85,3.65,3.98,1.9,3.7,4.3,1.9,1.95,1.88,1.97,2.0,1.98,1.88,1.9,1.93,1.96,-0.5,1.88,1.98,1.86,2.01,1.91,2.01,1.86,1.96,1.9,2.0,2.25,3.4,3.1,2.15,3.2,3.3,2.0,3.2,3.5,2.41,3.25,3.23,1.85,3.4,4.0,2.09,3.45,3.47,2.41,3.5,3.71,2.13,3.29,3.45,2.14,3.5,3.85,2.08,1.73,2.16,1.76,2.16,1.81,2.04,1.75,2.16,1.84,-0.25,2.0,1.85,2.06,1.85,2.06,2.1,1.85,1.98,1.86,2.11,2024/25,,,,,,,,,,,,,
I2,,19:30,Bari,Sassuolo,1,1,D,0,1,A,26,8,4,2,11,12,13,3,1,1,0,1,2.63,3.2,2.63,2.6,3.25,2.6,2.7,3.1,2.63,2.84,3.09,2.8,2.9,3.3,2.3,2.69,3.34,2.61,2.84,3.34,2.8,2.71,3.16,2.68,2.84,3.3,2.8,2.05,1.75,2.13,1.78,2.13,1.81,2.06,1.76,2.18,1.82,0.0,1.93,1.93,1.96,1.94,1.98,1.95,1.94,1.91,1.98,1.96,2.6,3.3,2.7,2.55,3.2,2.65,2.7,3.1,2.7,2.69,3.2,2.86,2.9,3.3,2.3,2.74,3.32,2.55,2.83,3.32,2.86,2.69,3.17,2.68,2.84,3.3,2.86,2.03,1.83,2.07,1.83,2.07,1.87,2.01,1.79,2.08,1.9,0.0,1.85,2.0,1.89,2.02,1.98,2.05,1.92,1.94,1.98,2.0,2024/25,,,,,,,,,,,,,
I2,,19:30,Sassuolo,Cremonese,1,4,A,1,3,A,12,11,4,6,15,10,6,2,2,1,0,0,2.3,3.2,3.2,2.25,3.2,3.1,2.25,3.2,3.3,2.31,3.08,3.41,,,,2.31,3.18,3.31,2.33,3.25,3.47,2.28,3.13,3.26,1.76,1.84,2.56,2.05,1.75,2.13,1.75,2.2,1.78,2.08,1.72,1.06,1.08,-0.25,2.0,1.85,1.98,1.89,2.04,1.91,1.95,1.87,1.71,1.64,2.63,3.25,2.7,2.5,3.2,2.8,2.63,3.0,2.7,2.75,3.17,2.83,,,,2.63,3.26,2.7,2.75,3.26,2.83,2.62,3.15,2.73,2.84,3.25,2.88,2.0,1.85,2.02,1.87,2.06,1.87,1.96,1.81,2.08,1.91,0.0,1.93,1.93,1.93,1.98,1.96,1.98,1.91,1.93,1.97,2.02,2024/25,,,,,,,,,,,,,
I2,,14:00,Carrarese,Sassuolo,0,2,A,0,0,D,14,16,3,7,10,14,3,1,0,2,0,0,3.3,3.3,2.2,3.1,3.3,2.2,3.3,3.3,2.15,3.48,3.16,2.22,3.1,3.3,2.2,3.32,3.44,2.17,3.62,3.44,2.29,3.32,3.23,2.19,3.35,3.25,2.2,2.03,1.83,2.01,1.81,2.08,1.83,2.0,1.79,1.85,1.77,0.25,1.93,1.93,1.93,1.9,1.96,1.99,1.93,1.88,,,3.5,3.4,2.05,3.4,3.3,2.1,3.6,3.25,2.05,3.74,3.39,2.12,3.1,3.3,2.2,3.53,3.43,2.07,3.74,3.43,2.45,3.45,3.32,2.11,3.9,3.5,2.16,1.95,1.9,1.93,1.95,2.02,1.96,1.91,1.86,2.0,1.99,0.25,2.03,1.83,2.1,1.83,2.14,2.04,2.01,1.83,2.14,1.85,2024/25,,,,,,,,,,,,,
I2,,14:00,Cosenza,Sassuolo,0,1,A,0,0,D,22,11,5,6,16,10,6,2,3,4,0,0,2.7,3.2,2.63,2.65,3.2,2.6,2.75,3.2,2.55,2.81,3.1,2.7,2.62,3.25,2.5,2.76,3.2,2.64,2.88,3.3,2.71,2.74,3.14,2.62,2.78,3.25,2.68,2.0,1.85,2.02,1.85,2.04,1.88,1.96,1.82,1.95,1.86,0.0,1.95,1.9,1.97,1.9,2.0,1.93,1.96,1.88,1.98,1.9,2.75,3.1,2.63,2.75,3.1,2.55,2.75,3.0,2.6,2.92,3.09,2.72,2.62,3.25,2.5,2.88,3.13,2.56,3.05,3.2,2.72,2.82,3.07,2.61,2.94,3.25,2.82,2.08,1.73,2.11,1.78,2.17,1.81,2.05,1.75,2.2,1.82,0.0,2.0,1.85,2.03,1.88,2.05,1.91,2.0,1.86,2.04,1.95,2024/25,,,,,,,,,,,,,
I2,,14:00,Sassuolo,Spezia,0,0,D,0,0,D,12,13,3,1,11,12,4,3,2,2,0,0,2.1,3.25,3.6,2.1,3.3,3.4,2.1,3.3,3.5,2.13,3.31,3.74,2.05,3.4,3.4,2.08,3.5,3.51,2.14,3.5,3.74,2.09,3.29,3.53,2.14,3.35,3.65,2.03,1.83,2.02,1.86,2.07,1.87,1.98,1.8,1.92,1.87,-0.25,1.8,2.05,1.83,2.07,1.88,2.09,1.79,2.03,1.83,2.08,2.1,3.25,3.7,2.1,3.2,3.5,2.1,3.1,3.5,2.12,3.35,3.79,2.05,3.4,3.4,2.11,3.26,3.61,2.2,3.35,3.79,2.11,3.22,3.57,2.24,3.35,3.8,2.0,1.85,2.01,1.88,2.16,1.9,1.99,1.8,2.1,1.89,-0.25,1.8,2.05,1.83,2.1,1.85,2.13,1.8,2.04,1.91,2.08,2024/25,,,,,,,,,,,,,
I2,,14:00,Sassuolo,Cittadella,6,1,H,1,1,D,19,11,13,4,11,5,3,3,0,4,0,0,1.67,3.75,5.0,1.68,3.7,4.8,1.67,3.7,5.0,1.67,3.82,5.48,1.65,3.7,4.8,1.7,3.78,5.0,1.72,3.85,5.5,1.68,3.74,4.99,1.71,3.85,5.4,1.98,1.88,1.95,1.92,2.0,1.92,1.92,1.86,1.97,1.34,-0.75,1.88,1.98,1.88,2.02,1.93,2.02,1.87,1.95,1.89,1.98,1.65,3.8,5.0,1.65,3.8,4.8,1.6,3.6,5.0,1.67,3.87,5.54,1.65,3.7,4.8,1.67,3.84,5.05,1.71,3.9,5.54,1.65,3.78,5.06,1.71,3.95,5.8,1.9,1.95,1.93,1.95,2.02,2.0,1.88,1.9,1.95,2.04,-0.75,1.85,2.0,1.88,2.03,1.89,2.06,1.85,1.99,1.92,2.05,2024/25,,,,,,,,,,,,,
I2,,16:15,Brescia,Sassuolo,2,5,A,1,1,D,20,21,8,8,15,4,3,3,2,3,0,0,2.8,3.25,2.5,2.65,3.25,2.55,2.88,3.3,2.45,2.92,3.2,2.53,2.4,3.25,2.8,2.9,3.24,2.51,2.99,3.3,2.55,2.86,3.21,2.48,2.94,3.3,2.52,2.03,1.83,2.0,1.86,2.06,1.86,1.96,1.82,2.04,1.84,0.0,2.05,1.8,2.09,1.8,2.11,1.87,2.07,1.79,2.08,1.8,3.4,3.6,2.05,3.6,3.4,2.0,3.75,3.3,2.0,3.77,3.49,2.07,2.4,3.25,2.8,3.67,3.48,2.01,3.77,3.6,2.1,3.56,3.43,2.03,3.95,3.55,2.12,1.75,2.05,1.79,2.1,1.83,2.13,1.76,2.03,1.82,2.2,0.5,1.8,2.05,1.84,2.08,1.85,2.09,1.8,2.03,1.88,2.12,2024/25,,,,,,,,,,,,,
I2,,16:15,Sassuolo,Modena,2,0,H,1,0,H,12,14,5,5,8,9,5,6,2,0,0,0,1.91,3.5,4.0,1.93,3.4,3.8,1.95,3.3,4.0,1.93,3.55,3.97,1.91,3.4,3.8,1.94,3.58,3.88,1.96,3.6,4.0,1.93,3.46,3.88,1.95,3.6,4.2,2.05,1.75,2.03,1.83,2.1,1.83,2.01,1.77,2.04,1.85,-0.5,1.93,1.93,1.94,1.93,1.97,1.95,1.92,1.89,1.94,2.02,2.0,3.5,3.6,2.0,3.4,3.5,1.95,3.3,3.8,2.05,3.46,3.87,1.91,3.4,3.8,2.01,3.52,3.62,2.07,3.6,4.1,1.99,3.43,3.69,2.08,3.55,4.1,1.9,1.95,1.93,1.96,1.93,2.02,1.87,1.9,1.94,2.02,-0.5,2.03,1.83,2.06,1.85,2.08,1.93,1.98,1.84,2.09,1.9,2024/25,,,,,,,,,,,,,
